Grouping,Item_Name,Description,Data_Type,Is_Derived_Item,NCDR_Derivation_Methodology,Link,Link Type,Author,Created_Date,Last_Update_By,Last_Update_Date,Present_In_Tables,Table 1,Table 2,Table 3,Table 4,Table 5,Table 6,Table 7,Table 8,Table 9,Table 10,Table 11,Table 12,Table 13,Table 14,Table 15,Table 16,Table 17,Table 18,Table 19,Table 20,Table 21,Table 22,Table 23,Table 24,Table 25,Table 26,Table 27,Table 28,Table 29,Table 30,Table 31,Table 32,Table 33,Table 34,Table 35,Table 36,Table 37,Table 38,Table 39,Table 40,Table 41,Table 42,Table 43,Table 44,Table 45,Table 46,Table 47,Table 48,Table 49,Table 50,Table 51,Table 52,Table 53,Table 54,Table 55,Table 56,Table 57,Table 58,Table 59,Table 60,Table 61,Table 62,Table 63,Table 64,Table 65,Table 66,Table 67,Table 68,Table 69,Table 70,Table 71,Table 72,Table 73,Table 74,Table 75,Table 76,Table 77,Table 78,Table 79,Table 80,Table 81,Table 82,Table 83,Table 84,Table 85,Table 86,Table 87,Table 88,Table 89,Table 90,Table 91,Table 92,Table 93,Table 94,Table 95,Table 96,Table 97,Table 98,Table 99,Table 100
Values,IC_LAST_SPECIFIC_PHOBIA,"The last outcome score for the specific phobia questionnaire (SPECPHOBIASCORE), taken from the last appointment in the referral period.",int,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_FIRST_EMPSTATUS,"The first recorded employment status, taken from the first appointment in the referral period.",varchar(2),Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_LAST_EMPSTATUS,"The last recorded employment status, taken from the last appointment in the referral period.",varchar(2),Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,IC_date_LAST_appointment,Date of the last attended appointment (excluding follow up).,date,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDs,IC_SOURCE_PERIOD_ID,"The month number of the monthly reporting period in which the referral was submitted. If it is null then it refers months 10, 11 and 12 of fiscal year 2015/16 (MH data only).",int,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_Mental_Health.dbo.MHLDDS_Episodes;NHSE_Mental_Health.dbo.MHLDDS_Records;NHSE_Mental_Health.dbo.MHMDS_Episodes;NHSE_Mental_Health.dbo.MHMDS_Records;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_Mental_Health.dbo.MHLDDS_Episodes,NHSE_Mental_Health.dbo.MHLDDS_Records,NHSE_Mental_Health.dbo.MHMDS_Episodes,NHSE_Mental_Health.dbo.MHMDS_Records,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,IC_INACTIVE_timeSTAMP,"Not set for records where the reporting period is the maximum held within the database. Where this is not the case, the record is open and the episode cannot be found in a superseding reporting period, the record is date stamped as inactive. The date used is the first day of the next reporting period.",datetime,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_Mental_Health.dbo.MHLDDS_Episodes;NHSE_Mental_Health.dbo.MHLDDS_Records;NHSE_Mental_Health.dbo.MHMDS_Episodes;NHSE_Mental_Health.dbo.MHMDS_Records;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_Mental_Health.dbo.MHLDDS_Episodes,NHSE_Mental_Health.dbo.MHLDDS_Records,NHSE_Mental_Health.dbo.MHMDS_Episodes,NHSE_Mental_Health.dbo.MHMDS_Records,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,IC_RP_START_date,Start date of annual reporting period in which the referral was submitted.,datetime,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,IC_RP_END_date,End date of annual reporting period in which the referral was submitted.,datetime,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_PROVDIAG,The cleansed provisional patient diagnosis (ICD-10) for the main condition treated or investigated during the relevant episode of healthcare.,varchar(6),Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_PROBDESC_PRIMARY,The primary problem descriptor category for reporting.,varchar(50),Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_PROBDESC_SECONDARY,The secondary problem descriptor category for reporting (subset of the primary).,varchar(50),Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrgCode,IC_CCG,NHS Digital derived CCG responsible for commissioning the activity that took place in the record.,varchar(5),Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,IC_date_FIRST_ASSESSMENT,Identifies the first attended appointment date that has an associated outcome score.,date,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,IC_date_FIRST_THERAPEUTIC_SESSION,Identifies the first attended appointment date that has an associated therapy type entry.,date,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,IC_date_SECOND_THERAPEUTIC_SESSION,Date of the second therapeutic session.,date,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,IC_date_LAST_THERAPEUTIC_SESSION,Date of the last attended treatment appointment (excluding follow up).,date,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,IC_date_LAST_ASSESSMENT,Identifies the last attended appointment date that has an associated outcome score or a relevant assessment appointment type.,date,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_FIRST_WASASTOTAL,First score Work and Social Adjustment Scale Total Score (derived).,decimal,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_LAST_WASASTOTAL,"The last outcome score for the Work and Social Adjustment Scale (WSAS), taken from the last appointment in the referral period.",decimal,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_FIRST_AGORA_MOB_ALONE_v1,"The first outcome score for the agoraphobia mobility inventory questionnaire 'when alone' (AGORASCOREALONE), taken from the first appointment in the referral period.",decimal,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_LAST_AGORA_MOB_ALONE_v1,"The last outcome score for the agoraphobia mobility inventory questionnaire 'when alone' (AGORASCOREALONE), taken from the last appointment in the referral period.",decimal,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_FIRST_AGORA_MOB_ALONE_v1_5,"The first outcome score for the agoraphobia mobility inventory questionnaire 'when alone' (AGORASCOREALONE), taken from the first appointment in the referral period when both first and last scores are in v1.5.",decimal,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_LAST_AGORA_MOB_ALONE_v1_5,"The last outcome score for the agoraphobia mobility inventory questionnaire 'when alone' (AGORASCOREALONE), taken from the last appointment in the referral period when both first and last scores are in v1.5.",decimal,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_COUNT_CCBT_SESSIONS,The total number of Computerised Cognitive Behavioural Therapy (CCBT) sessions for IAPT within a referral.,int,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_COUNT_PURE_SELF_HELP_SESSIONS,The total number of pure self help (e.g. prescription books) appointments in the referral.,int,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_COUNT_GUIDED_SELF_HELP_SESSIONS,The total number of guided self-help sessions for IAPT within a referral.,int,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_COUNT_PSYCOEDUC_GROUP_SESSIONS,The total number of Psychoeducational peer support sessions for IAPT within the referral.,int,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_COUNT_EMPLOYMENT_SUPPORT_SESSIONS,The total number of employment support sessions for IAPT within a referral.,int,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_COUNT_BEHAVIOURAL_ACTIVATION_SESSIONS,The total number of behaviour activation sessions for IAPT within a referral.,int,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IC_COUNT_CBT_SESSIONS,The total number of Cognitive Behavioural Therapy (CBT) sessions for IAPT within a referral.,int,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Amy Hutton,8/31/17,,,NHSE_IAPT.dbo.IAPT_Referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.IAPT_Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
