,Definition ID,Database,Table,Schema,Data Item,Description,Data type,Is_Derived_Item,Derivation_Methodology,Data Dictionary Name,Data Dictionary Links,Technical check,Business check,RK 2
,11,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,Cost_Type,"The 2013/14 cost type, e.g. Tariff, Tariff (MPPS), Local etc.",varchar(20),Yes,"Set as 'Tariff' where  the ACCIDENT AND EMERGENCY DEPARTMENT TYPE is '01', '02' or '03'.  Where this is not the case, set to 'Local' (please note that local payment rules have yet to be defined).",,,RK,PR,
,12,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,Tariff_Type,"The 2013/14 tariff type derived using the AEA_Department_Type field, e.g. 24 Hr Main, MIU etc.",varchar(50),Yes,"When AEA_Department_Type is '01' or '1' then '24 Hr Main' is applied, where it is '2' or '02' then 'Mono-Spec' and where it is '3' of '03' then 'MIU'.",,,RK,PR,
,13,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,Contractual_Adj_Key,Concatenated text string detailing the applied contractual adjustments to cost (Currently not populated within the NCDR).,varchar(50),Yes,Derivation methodology yet to be developed.,,,RK,PR,
,14,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,AEA_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_AEA_*  tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,PR,
,15,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,AEA_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,PR,
,16,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,AEA_Raw_ID,An identifier in the raw data which is imported. Used during loading and processing.,bigint,No,,,,RK,PR,
,17,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,HRG_Code,2014/15 version of Healthcare Resource Groups (HRGs) which are standard groupings of clinically similar treatments which use common levels of healthcare resource.,varchar(6),Yes,"For full details, please see the NHS Digital owned documentation at http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper",Healthcare Resource Groups,http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/h/healthcare_resource_group_de.asp?shownav=1,RK,PR: Changed RK Description,Y
,18,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,Tariff_Total_Payment,The base 2014/15 national tariff.,decimal,Yes,"When AEA_Department_Type is '1', '01', '2' or '02' then Tariff_1 is applied, when it is '3' or '03' then Tariff_2 is applied, otherwise this field is left null.",,,RK,PR,
,19,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,Local_Total_Payment,The base 2014/15 local payment (Currently not populated within the NCDR).,decimal,Yes,Derivation methodology yet to be developed.,,,RK,PR,
,20,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,Local_Contractual_Adj,The base 2014/15 local contractual adjustment (Currently not populated within the NCDR).,decimal,Yes,Derivation methodology yet to be developed.,,,RK,PR,
,21,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,Net_SLA_Payment,Net Service Level Agreement payment for 2014/15.,decimal,Yes,"The sum total of Tariff_Total_Payment, Local_Total_Payment and Local_Contractual_Adj where Cost_Type is 'Tariff' or 'Local'.",,,RK,PR,
,22,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,Tariff_MFF_Payment,The 2014/15 MFF payment for the attendance.,decimal,Yes,"The value of Market Forces Factor (MFF) for the provider for the relevant year minus 1, multiplied by the Net_SLA_Payment.
Applied when Cost_Type is 'Tariff'; when this is not the case, this field is set to '0'.",,,RK,PR,
,23,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,Grand_Total_Payment,The 2014/15 total payment for the attendance (Net_SLA_Payment + Tariff_MFF_Payment).,decimal,Yes,"The sum total of Tariff_Total_Payment, Local_Total_Payment and Tariff_MFF_Payment.",,,RK,PR,
,24,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,Cost_Type,"The 2014/15 cost type, e.g. Tariff, Tariff (MPPS), Local etc.",varchar(20),Yes,"Set as 'Tariff' where  the ACCIDENT AND EMERGENCY DEPARTMENT TYPE is '01', '02' or '03'.  Where this is not the case, set to 'Local' (please note that local payment rules have yet to be defined).",,,RK,PR,
,25,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,Tariff_Type,"The 2014/15 tariff type derived using the AEA_Department_Type field, e.g. 24 Hr Main, MIU etc.",varchar(50),Yes,"When AEA_Department_Type is '01' or '1' then '24 Hr Main' is applied, where it is '2' or '02' then 'Mono-Spec' and where it is '3' of '03' then 'MIU'.",,,RK,PR,
,26,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Cost,dbo,Contractual_Adj_Key,Concatenated text string detailing the applied contractual adjustments to cost (Currently not populated within the NCDR).,varchar(50),Yes,Derivation methodology yet to be developed.,,,RK,PR,
,27,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,AEA_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_AEA_*  tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,PR,
,28,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,AEA_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,PR,
,29,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,AEA_Raw_ID,An identifier in the raw data which is imported. Used during loading and processing.,bigint,No,,,,RK,PR,
,30,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Record_Type,"Indicates the actual record type for 2015/16 (DTR or ETO).
NB: Reciprocal OSV patients are charged at DTR rates for 2015/16 irrespective of the providers tariff option choice (as per Monitor guidance).",varchar(3),Yes,"Joins to a reference table on provider code.
If OSV patient, then DTR is always applied.
Else provider choice of ETO or DTR tariff, applied.",,,RK,PR: Formatted RK Description. Also see 1399 for alternative derivation explanation.,Used 1399 stuff
,31,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,HRG_Code,2015/16 version of Healthcare Resource Groups (HRGs) which are standard groupings of clinically similar treatments which use common levels of healthcare resource.,varchar(6),Yes,"For full details, please see the NHS Digital owned documentation at  http://content.digital.nhs.uk/article/6103/HRG4-201516-Local-Payment-Grouper",Healthcare Resource Groups,http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/h/healthcare_resource_group_de.asp?shownav=1,RK,PR: Changed RK Description,Y
,32,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Tariff_Total_Payment,The base 2015/16 DTR or ETO national tariff.,decimal,Yes,"When AEA_Department_Type is '1', '01', '2' or '02' then Tariff_1 is applied, when it is '3' or '03' then Tariff_2 is applied, otherwise this field is left null.",,,RK,PR: Why different to others?,includes comments around DTR/ETO (in 2015/16) mistake led to providers having chouce of two tariff options
,33,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Local_Total_Payment,The base 2015/16 DTR or ETO local payment (Currently not populated within the NCDR).,decimal,Yes,Derivation methodology yet to be developed.,,,RK,PR,
,34,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Local_Contractual_Adj,The base 2015/16 local contractual adjustment (Currently not populated within the NCDR).,decimal,Yes,Derivation methodology yet to be developed.,,,RK,PR,
,35,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Net_SLA_Payment,DTR or ETO Net Service Level Agreement payment for 2015/16.,decimal,Yes,"The sum total of Tariff_Total_Payment, Local_Total_Payment and Local_Contractual_Adj where Cost_Type is 'Tariff' or 'Local'.",,,RK,PR,
,36,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Tariff_MFF_Payment,The 2015/16 DTR or ETO MFF payment for the attendance.,decimal,Yes,"The value of Market Forces Factor (MFF) for the provider for the relevant year minus 1, multiplied by the Net_SLA_Payment.
Applied when Cost_Type is 'Tariff'; when this is not the case, this field is set to '0'.",,,RK,PR: Why different to others?,includes comments around DTR/ETO (in 2015/16) mistake led to providers having chouce of two tariff options
,37,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Grand_Total_Payment_MFF,The 2015/16 DTR or ETO total payment for the attendance (Net_SLA_Payment + Tariff_MFF_Payment).,decimal,Yes,"The combined total of Tariff_Total_Payment, Local_Total_Payment and Tariff_MFF_Payment.",,,RK,PR,
,38,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,CQUIN_Payment,"The 2015/16 estimated CQUIN payment (estimated payment of 80% of 2.5% CQUIN = 2%) for the attendance.
NB: ETO records only, CQUIN not applicable for 2015/16 DTR tariff.",decimal,Yes,"Calculated as Grand_Total_Payment_MFF * 0.025 * Estimated_CQUIN. Where Grand_Total_Payment_MFF is null, a default value of '0' is used, and where Estimated_CQUIN is null, a default value of 0.8 is used.",,,RK,PR: Formatted RK Description,Y
,39,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Grand_Total_Payment_MFF_CQUIN,The 2015/16 DTR or ETO total payment including CQUIN for the attendance.,decimal,Yes,The sum total of Grand_Total_Payment and CQUIN_Payment.,,,RK,PR,
,40,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Cost_Type,"The 2015/16 DTR or ETO cost type, e.g. Tariff or Local.",varchar(20),Yes,"Set as 'Tariff' where  the ACCIDENT AND EMERGENCY DEPARTMENT TYPE is '01', '02' or '03'.  Where this is not the case, set to 'Local' (please note that local payment rules have yet to be defined). Where 'Tariff' is assigned this is either 'Tariff (ETO)' or 'Tariff (DTR)' depending upon which tariff option the provider chose to use.",,,RK,PR,
,41,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Tariff_Type,"The 2015/16 DTR or ETO tariff type derived using the AEA_Department_Type field, e.g. 24 Hr Main, MIU.",varchar(50),Yes,"When AEA_Department_Type is '01' or '1' then '24 Hr Main' is applied, where it is '2' or '02' then 'Mono-Spec' and where it is '3' of '03' then 'MIU'.",,,RK,PR: Why different to others?,includes comments around DTR/ETO (in 2015/16) mistake led to providers having chouce of two tariff options
,42,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Cost,dbo,Contractual_Adj_Key,Concatenated text string detailing the applied contractual adjustments to cost (Currently not populated within the NCDR).,varchar(50),Yes,Derivation methodology yet to be developed.,,,RK,PR,
,43,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,AEA_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_AEA_*  tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,PR,
,44,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,AEA_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,PR,
,45,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,AEA_Raw_ID,An identifier in the raw data which is imported. Used during loading and processing.,bigint,No,,,,RK,PR,
,46,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,HRG_Code,2016/17 version of Healthcare Resource Groups (HRGs) which are standard groupings of clinically similar treatments which use common levels of healthcare resource.,varchar(6),Yes,"For full details, please see the NHS Digital owned documentation at  http://content.digital.nhs.uk/article/7052/HRG4-201617-Local-Payment-Grouper",Healthcare Resource Groups,http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/h/healthcare_resource_group_de.asp?shownav=1,RK,PR: Changed RK Description,Y
,47,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,Tariff_Total_Payment,The base 2016/17 national tariff.,decimal,Yes,"When AEA_Department_Type is '1', '01', '2' or '02' then Tariff_1 is applied, when it is '3' or '03' then Tariff_2 is applied, otherwise this field is left null.",,,RK,PR,
,48,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,Local_Total_Payment,The base 2016/17 local payment (Currently not populated within the NCDR).,decimal,Yes,Derivation methodology yet to be developed.,,,RK,PR,
,49,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,Local_Contractual_Adj,The base 2016/17 local contractual adjustment (Currently not populated within the NCDR).,decimal,Yes,Derivation methodology yet to be developed.,,,RK,PR,
,50,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,Net_SLA_Payment,Net Service Level Agreement payment for 2016/17.,decimal,Yes,"The sum total of Tariff_Total_Payment, Local_Total_Payment and Local_Contractual_Adj where Cost_Type is 'Tariff' or 'Local'.",,,RK,PR,
,51,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,Tariff_MFF_Payment,The 2016/17 MFF payment for the attendance.,decimal,Yes,"The value of Market Forces Factor (MFF) for the provider for the relevant year minus 1, multiplied by the Net_SLA_Payment.
Applied when Cost_Type is 'Tariff'; when this is not the case, this field is set to '0'.",,,RK,PR,
,52,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,Grand_Total_Payment_MFF,The 2016/17 total payment for the attendance (Net_SLA_Payment + Tariff_MFF_Payment).,decimal,Yes,"The combined total of Tariff_Total_Payment, Local_Total_Payment and Tariff_MFF_Payment.",,,RK,PR,
,53,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,Cost_Type,"The 2016/17 cost type, e.g. Tariff, Tariff (MPPS), Local etc.",varchar(20),Yes,"Set as 'Tariff' where  the ACCIDENT AND EMERGENCY DEPARTMENT TYPE is '01', '02' or '03'.  Where this is not the case, set to 'Local' (please note that local payment rules have yet to be defined).",,,RK,PR,
,54,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,Tariff_Type,"The 2016/17 tariff type derived using the AEA_Department_Type field, e.g. 24 Hr Main, MIU etc.",varchar(50),Yes,"When AEA_Department_Type is '01' or '1' then '24 Hr Main' is applied, where it is '2' or '02' then 'Mono-Spec' and where it is '3' of '03' then 'MIU'.",,,RK,PR,
,55,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Cost,dbo,Contractual_Adj_Key,Concatenated text string detailing the applied contractual adjustments to cost (Currently not populated within the NCDR).,varchar(50),Yes,Derivation methodology yet to be developed.,,,RK,PR,
,1219,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,PR,
,1220,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,PR,
,1221,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Tariff_Exclusion_Reason,"Indicates the reason as to why the spell has been excluded from been priced at national tariff for 2013/14, e.g. Core_HRG_Exclusion, Pre_Grouper_Exclusion, etc.",varchar(50),Yes,"1) When Administrative_Category is ‘02’ or ‘2’ then 'ADMINISTRATIVE_CATEGORY' is applied.
2) When Der_Management_Type is ‘RDA’ or ‘RNA’ and the first four characters of HRG_Code are anything but 'SB97', 'SC97', 'NZ04', 'NZ05', 'NZ06', 'NZ07', 'NZ08', 'NZ09' or 'NZ10' then 'REGULAR_DAY_OR_NIGHT_ATTENDER' is applied.
3) When Calc_Type is anything but ‘Tariff’ then 'CORE_HRG_EXCLUSION' is applied.
4) When HRG_Code is 'N/A' and Spell_PreGrp_Exc_Reason contains 'Overlapping Episodes' then 'OVERLAPPING_EPI_IN_SPELL' is applied.
5) When HRG_Code is 'N/A' and Spell_PreGrp_Exc_Reason contains 'Missing Episode\s' then 'MISSING_EPISODE(S)' is applied.
5) When HRG_Code is 'N/A' but neither of the above rules are met, 'PRE_GROUPER_EXCLUSION' is applied.
6) In all other cases, left null.",,,RK,PR: Formatted Derivation Methodology,Y
,1222,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,HRG_Code,2013/14 version of Healthcare Resource Groups (HRGs) which are standard groupings of clinically similar treatments which use common levels of healthcare resource.,varchar(5),Yes,"For full details, please see the NHS Digital owned documentation at http://content.digital.nhs.uk/article/2580/HRG4-201314-Local-Payment-Grouper",Healthcare Resource Groups,http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/h/healthcare_resource_group_de.asp?shownav=1,RK,PR: Changed RK Description,Y
,1223,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,HRG_TrimPoint,The trimpoint associated with the HRG for 2013/14.,int,Yes,"When the spell has an associated HRG code, a Calc_Type of 'Tariff' and Cost_Type is null, the following rules determine which trimpoint type is selected from a Tariff Reference table:
When Der_Management_Type is ‘RDA’ or ‘RNA’ and HRG_Code is ‘SB97Z’ or ‘SC97Z’ then Inpatient_Longstay_Trimpoint is used, this is also applied when Der_Management_Type is ‘DC’ or ‘EL’.
When Der_Management_Type is ‘EM’ or ‘NE’, NonElective_LongStay_TrimPoint is used.",,,RK,PR,
,1224,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Spell_Adj_LoS,"The spell length of stay, adjusted in accordance with 2013/14 PbR rules and guidance.",int,No,The sum of Der_Episode_Adj_LoS for each episode within the spell where FCE_Group_Status is 'Inc'.,,,RK,PR,
,1225,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Spell_ExcessBedDays,The number of excess bed days for the spell.,int,Yes,Derived by subtracting HRG_Trimpoint from Spell_Adj_LoS where Cost_Type starts with 'Tariff' and HRG_Trimpoint is complete.  The minimum possible value given is '0'.,,,RK,PR,
,1226,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Spell_SSC,The specialised service code used to adjust the cost of the spell for 2013/14 (i.e. where any conditionality is met).,varchar(4),Yes,"Spell_SSC is assigned according to a hierarchy, i.e. it will only show one 4 character code even if it meets two of the rules outlined below, and this will be the first one listed.
1) Set as ‘SS93’ when Spell_SSC_Key contains ‘SS93’ and the relevant record in the Specialised Services Inpatient Tariff reference table has a Spell_SSC of ‘SS93’ and Der_Age_at_CDS_Activity_Date is under 19.
2) Set as ‘SS91’ when Spell_SSC_Key contains ‘SS91’ and the relevant record in the Specialised Services Inpatient Tariff reference table has a Spell_SSC of ‘SS91’ and Der_Age_at_CDS_Activity_Date is under 19.
3) Set as ‘SS06’ when Spell_SSC_Key contains ‘SS06’ and the relevant record in the Specialised Services Inpatient Tariff reference table has a Spell_SSC of ‘SS06’.
4) Set as ‘SS08’ when Spell_SSC_Key contains ‘SS08’ and the relevant record in the Specialised Services Inpatient Tariff reference table has a Spell_SSC of ‘SS08’ and Der_Age_at_CDS_Activity_Date is greater than or equal to 19.
5) Set as ‘SS34’ when Spell_SSC_Key contains ‘SS34’ and Der_Age_at_CDS_Activity_Date is equal to or greater than 19.
6) Set as ‘SS97’ when HRG_Code is either 'AA22A' or 'AA22B' and Spell_Unbundled_HRGs contains ‘XD07Z’.",,,RK,PR: Changed formatting of Derivation Methodology,Y
,1227,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Spell_BP,The best practice code used to adjust the cost of the spell for 2013/14 (i.e. where any conditionality is met).,varchar(4),Yes,Set by looking up the Best Practice code in the appropriate reference table.,,,RK,PR,
,1228,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Tariff_Initial_Amount,The base 2013/14 national tariff.,int,Yes,"When Der_Management_Type is:
1) ‘DC’ and Daycase_Tariff is complete in the HRG reference table then Daycase_Tariff is used.
2) ‘EL’ and Inpatient_Tariff is complete in the HRG reference table then Inpatient_Tariff is used.
3) ‘DC’ or ‘EL’ and Elective_Tariff is complete in the HRG reference table then Elective_Tariff used.
4) ‘RDA’ or ‘RNA’ and HRG_Code  is either ‘SB97Z’ or ‘SC97Z’ then Elective_Tariff is used.
5) ‘EM’ or ‘NE’ then NonElective_Tariff in the HRG reference table is used.
Only applied when Calc_Type is 'Tariff', HRG_Code is complete and Cost_Type is incomplete.",,,RK,PR: Formatted Derivation Methodology,Y
,1229,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Tariff_BestPrac_Adj,Adjustment to account for 2013/14 best practice tariffs.,int,Yes,"When Spell_Adj_Los is '0', then Tariff_Initial_Amount is subtracted from BestPractice_Tariff, when Spell_Adj_LoS is not '0' then Tariff_Initial_Amount is subtracted from NonElective_Tariff.
Applied where Cost_Type starts with 'Tariff' and Spell_BP is one of 'BP35', 'BP38', 'BP39', 'BP40', 'BP41', 'BP42', 'BP44', 'BP45', 'BP46', 'BP47', 'BP48', 'BP49', 'BP53', 'BP54', 'BP55', 'BP56', 'BP58', 'BP59' or 'BP61'.",,,RK,PR,
,1230,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Tariff_ShortStay_Adj,Adjustment to account for 2013/14 emergency short stay tariffs.,int,Yes,"Set as NonElective_ShortStay_Tariff minus NonElective_Tariff.  Applied when Der_Management_Type is 'EM', Spell_Adj_LoS is less than 2, Der_Age_at_CDS_Activity_Date  is greater than or equal to 19 (or null), NonElective_ShortStay_Indicator (from the HRG Reference table) is '1', Cost_Type starts with 'Tariff' and Tariff_Type  is complete but does not contain '|BPT' or Tariff_Type contains '|BPT' and HRG_Code is either 'DZ16B' or 'DZ16C'.
Set as '0' when the above rule has not been met and Cost_Type starts with 'Tariff'.",,,RK,PR,
,1231,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Tariff_LongStay_Rate,The 2013/14 long stay rate (per diem unit rate) for excess bed days.,int,Yes,"The same value as LongStay_Day_Tariff in the HRG Reference Table.
Only applied when Cost_Type starts with 'Tariff' and Spell_ExcessBedDays is greater than '0'.
Set to '0' where the above rule was not met and Cost_Type starts with 'Tariff'.",,,RK,PR,
,1232,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Tariff_LongStay_Adj,Adjustment to account for 2013/14 excess bed day tariffs.,int,Yes,"Equals Spell_ExcessBedDays (from the cost table) multiplied by the LongStay_Day_Tariff (from the HRG Reference Table).
Only applied where Cost_Type starts with 'Tariff' and Spell_ExcessBedDays is greater than '0'.
Set to '0' where Cost_Type starts with 'Tariff' and Tariff_LongStay_Rate is incomplete.
",,,RK,PR,
,1233,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Tariff_SpecServ_Adj,Adjustment to account for 2013/14 specialised service top up tariffs.,decimal,Yes,"When Cost_Type starts with 'Tariff', Specialised_TopUp_Indicator is '1' and Spell_SSC is complete, the sum total of Tariff_Initial_Amount, Tariff_BestPrac_Adj, Tariff_ShortStay_Adj and Tariff_LongStay_Adj is multiplied by the TopUp_Rate which is taken from the Specialised Services Tariff reference table.  This figure is then rounded to 2 decimal places.
When Cost_Type starts with 'Tariff' and Spell_SSC contains '97' then 828 is added to the previous total.
A default value of '0' is applied when Cost_Type starts with 'Tariff' and Tariff_SpecServ_Adj is null.",,,RK,PR,
,1234,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Tariff_Total_Payment,The total payment according to the 2013/14 national tariff .,decimal,Yes,"The sum total of Tariff_Initial_Amount, Tariff_BestPrac_Adj, Tariff_ShortStay_Adj, Tariff_LongStay_Adj and Tariff_SpecServ_Adj.
Only applied where Cost_Type starts with 'Tariff'.",,,RK,PR,
,1235,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Local_Total_Payment,The base 2013/14 local payment (Currently not populated within the NCDR).,decimal,Yes,Derivation methodology yet to be developed.,,,RK,PR,
,1236,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Local_Contractual_Adj,The base 2013/14 local contractual adjustment (Currently not populated within the NCDR).,decimal,Yes,Derivation methodology yet to be developed.,,,RK,PR,
,1237,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Cost,dbo,Net_SLA_Payment,Net Service Level Agreement payment for 2013/14.,decimal,Yes,"The sum total of Tariff_Total_Payment, Local_Total_Payment and Local_Contractual_Adj where Cost_Type is 'Tariff', 'Tariff (MPPS) or 'Local'.",,,RK,PR,
