Database,Schema,Table/View,Table or View,Description,Date_Range,Data Start,Data End,Link,Release schedule,Provisional Schedule,Updated Frequency,Updated Frequency,Updated Frequency,
NHSE_Mental_Health,dbo,Master_MHS901_StaffDetails,Table,Details of the staff involved in providing the person's care.,Jan 2016 - Ongoing,Jan-16, Ongoing,http://content.digital.nhs.uk/mhsds,TBD,TBD,TBD,No,,
NHSE_Mental_Health,dbo,MHLDDS_Episodes,Table,"This table has been derived prior to receipt in the NCDR and contains details of mental health episodes. This includes data for the following episode types 5 - REFER, 6 - TEAMEP, 7 - DAYEP, 8 - OPEP, 9 - HBCAREEP, 10- NHSCAREHOMEEP, 11 - PROVSPELL, 12 - INPATEP, 13 - WARDSTAYS, 14 - DELAYEDDISCHARGE, 17 - CCASS, 18 - RCASS, 24 - CPAEP, 27 - CLUSTER, 34 - MHAEVENT, 35 - SCT, 36 - SCTRECALL, 39 - LOA, 40 - AWOL, 41 - HOMELEAVE, 46 - COMMHIST & 47 - CONDISCH.",Apr 2014 - Dec 2015,Apr-14,Dec-15,http://content.digital.nhs.uk/mhsds,TBD,TBD,TBD,No,,
NHSE_Mental_Health,dbo,MHLDDS_Events,Table,"This table has been derived prior to receipt in the NCDR and contains details of mental health events. This includes data for the following event types 3 - EMP, 4 - ACCOMM, 19 - HCPCONT, 20 - DAYATT, 21 - REV, 22 - PRIMDIAG, 23 - SECDIAG, 26 - MHCT, 28 - HONOS, 29 - HONOS65+, 30 - HONOSCA, 31 - HONOSSECURE, 32 - PHQ-9, 33 - SSASS, 37 - INTERVENTION, 38 - ECT, 42 - SELFHRM, 43 - RESTRAINT, 44 - ASSAULT, 45 - SECLUSION & 49 - HONOS-LD.",Apr 2014 - Dec 2015,Apr-14,Dec-15,http://content.digital.nhs.uk/mhsds,TBD,TBD,TBD,No,,
NHSE_Mental_Health,dbo,MHLDDS_Records,Table,"This table has been derived prior to receipt in the NCDR and contains details of mental health records, where there has been a valid patient identifier and referral submitted.",Apr 2014 - Dec 2015,Apr-14,Dec-15,http://content.digital.nhs.uk/mhsds,TBD,TBD,TBD,No,,
NHSE_Mental_Health,dbo,MHMDS_Episodes,Table,"This table has been derived prior to receipt in the NCDR and contains details of mental health episodes. This includes data for the following episode types 5 - REFER, 6 - TEAMEP, 7 - DAYEP, 8 - OPEP, 9 - HBCAREEP, 10- NHSCAREHOMEEP, 11 - PROVSPELL, 12 - INPATEP, 13 - WARDSTAYS, 14 - DELAYEDDISCHARGE, 17 - CCASS, 18 - RCASS, 24 - CPAEP, 27 - CLUSTER, 34 - MHAEVENT, 35 - SCT, 36 - SCTRECALL, 39 - LOA, 40 - AWOL, 41 - HOMELEAVE, 46 - COMMHIST & 47 - CONDISCH.",Apr 2013 - Mar 2014,Apr-13,Mar-14,http://content.digital.nhs.uk/mhsds,TBD,TBD,TBD,No,,
NHSE_Mental_Health,dbo,MHMDS_Events,Table,"This table has been derived prior to receipt in the NCDR and contains details of mental health events. This includes data for the following event types 3 - EMP, 4 - ACCOMM, 19 - HCPCONT, 20 - DAYATT, 21 - REV, 22 - PRIMDIAG, 23 - SECDIAG, 26 - MHCT, 28 - HONOS, 29 - HONOS65+, 30 - HONOSCA, 31 - HONOSSECURE, 32 - PHQ-9, 33 - SSASS, 37 - INTERVENTION, 38 - ECT, 42 - SELFHRM, 43 - RESTRAINT, 44 - ASSAULT, 45 - SECLUSION & 49 - HONOS-LD.",Apr 2013 - Mar 2014,Apr-13,Mar-14,http://content.digital.nhs.uk/mhsds,TBD,TBD,TBD,No,,
NHSE_Mental_Health,dbo,MHMDS_Records,Table,"This table has been derived prior to receipt in the NCDR and contains details of mental health records, where there has been a valid patient identifier and referral submitted.",Apr 2013 - Mar 2014,Apr-13,Mar-14,http://content.digital.nhs.uk/mhsds,TBD,TBD,TBD,No,,
NHSE_SEM_Live,,,N/A,"The SUS data extracted from SEM. This database is planned to be archived, once all data has been transferred to the SUSPlus database.",N/A,N/A,N/A,http://content.digital.nhs.uk/sus/susguidance,,,,,,
NHSE_SEM_Live,dbo,AEAUpdate,Table,A table showing CCG mappings for the changes from April 2017 for Morecambe Bay and Cumbria. This table is no longer used.,Oct 2016 - Apr 2017,Oct-16,Apr-17,,N/A,N/A,None-Historic,YES,,
NHSE_SEM_Live,dbo,APCSUpdate,Table,A table showing CCG mappings for the changes from April 2017 for Morecambe Bay and Cumbria. This table is no longer used.,Oct 2016 - Apr 2017,Oct-16,Apr-17,,N/A,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,OPAUpdate,Table,A table showing CCG mappings for the changes from April 2017 for Morecambe Bay and Cumbria. This table is no longer used.,Oct 2016 - Apr 2017,Oct-16,Apr-17,,N/A,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,SJS_APCS,Table,A table used to derive CCG mappings for the changes from April 2017 for Morecambe Bay and Cumbria. This table is no longer used.,Oct 2016 - Apr 2017,Oct-16,Apr-17,,N/A,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,SJS_opa,Table,A table used to derive CCG mappings for the changes from April 2017 for Morecambe Bay and Cumbria. This table is no longer used.,Oct 2016 - Apr 2017,Oct-16,Apr-17,,N/A,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,SJSOPANEW,Table,A table used to derive CCG mappings for the changes from April 2017 for Morecambe Bay and Cumbria. This table is no longer used.,Oct 2016 - Apr 2017,Oct-16,Apr-17,,N/A,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_PbR_CC,Table,The PbR critical care data,Apr 2013 - Apr 2017,Apr-13,Apr-17,http://content.digital.nhs.uk/sus/susguidance,,,None-Historic,N/A,None-Historic,Yes
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA,Table,"The A&E data, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,http://content.digital.nhs.uk/sus/susguidance,,,None-Historic,N/A,None-Historic,Yes
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_1314_Cost,Table,Contains cost/price data for the 2013/14 national tariff rules,Apr 2008 - Mar 2014,Apr-08,Mar-14,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_1314_Der,Table,Contains various derivations for the 2013/14 logic,Apr 2008 - Mar 2014,Apr-08,Mar-14,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_1415_Cost,Table,Contains cost/price data for the 2014/15 national tariff rules,Apr 2008 - Mar 2015,Apr-08,Mar-15,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_1415_Der,Table,Contains various derivations for the 2014/15 logic,Apr 2008 - Mar 2015,Apr-08,Mar-15,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_1516_Cost,Table,Contains cost/price data for the 2015/16 national tariff rules,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_1516_Der,Table,Contains various derivations for the 2015/16 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_1617_Cost,Table,Contains cost/price data for the 2016/17 national tariff rules,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_1617_Der,Table,Contains various derivations for the 2016/17 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_1718_Cost,Table,Contains cost/price data for the 2017/18 national tariff rules,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_1718_Der,Table,Contains various derivations for the 2017/18 logic,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_CCG,Table,Contains various different CCG lookups,Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_AEA_RefCost_Der,Table,"The reference cost HRG-level output, from the 2014/15 reference cost grouper",Apr 2008 - Apr 2017,Apr-08,Apr-17,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE,Table,"The APCE data, taken from SUS SEM",Apr 2008 - Apr 2017,Apr-08,Apr-17,http://content.digital.nhs.uk/sus/susguidance,,,None-Historic,N/A,None-Historic,Yes
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_1314_Der,Table,Contains various derivations for the 2013/14 logic,Apr 2008 - Mar 2014,Apr-08,Mar-14,,None-Historic,N/A,None-Historic,Yes,,
NHSE_SEM_Live,dbo,tbl_Data_SEM_APCE_1415_Der,Table,Contains various derivations for the 2014/15 logic,Apr 2008 - Mar 2015,Apr-08,Mar-15,,None-Historic,N/A,None-Historic,Yes,,
