Database,Schema,Table/View,Table or View,Description,Date_Range,Data Start,Data End,Link,Link Type,Author,Created_Date,Last_Update_By,Last_Update_Date,Release schedule,Provisional Schedule,Updated Frequency,Only Historic
NHSE_IAPT,dbo,IAPT_Person,Table,"This table will contain personal demographic data that relates to individual patient differences such as age, faith, gender, ethnicity, employment status, and sexuality.
The patient is someone in receipt of services for depression or anxiety. Patient details should be captured at the time of registration.",Apr 2013 - Mar 2015,Apr 2013, Mar 2015,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT,dbo,IAPT_Referral,Table,"A referral is a request for a care service to be provided for a patient. It includes self referrals. Whilst a patient may have multiple referrals which require recording within the table, only one record is required for each referral.",Apr 2013 - Mar 2015,Apr 2013, Mar 2015,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT,dbo,IAPT_Treatments,Table,This table should contain details of each IAPT Treatment Patient Experience Questionnaire administered for a patient by a healthcare professional.,Apr 2013 - Mar 2015,Apr 2013, Mar 2015,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT,dbo,IAPT_WaitingTimes,Table,This table should contain a record for each separate period of Activity Suspension for a patient.,Apr 2013 - Mar 2015,Apr 2013, Mar 2015,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT,dbo,Person_v15,Table,"This table will contain personal demographic data that relates to individual patient differences such as age, faith, gender, ethnicity, employment status, and sexuality.
The patient is someone in receipt of services for depression or anxiety. Patient details should be captured at the time of registration.",Apr 2015 - Ongoing,Apr 2015, Ongoing,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_IAPT,dbo,Referral_v15,Table,"A referral is a request for a care service to be provided for a patient. It includes self referrals. Whilst a patient may have multiple referrals which require recording within the table, only one record is required for each referral.",Apr 2015 - Ongoing,Apr 2015, Ongoing,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_IAPT,dbo,Treatments_v15,Table,This table should contain details of each IAPT Treatment Patient Experience Questionnaire administered for a patient by a healthcare professional.,Apr 2015 - Ongoing,Apr 2015, Ongoing,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_IAPT,dbo,WaitingTimes_v15,Table,This table should contain a record for each separate period of Activity Suspension for a patient.,Apr 2015 - Ongoing,Apr 2015, Ongoing,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_IAPT,internal,DataDictionary,Table,Meta data about the database.,N/A,N/A,N/A,,,Nathan Abbotts,11/7/17,,,N/A,N/A,N/A,N/A
NHSE_IAPT_AnnualRefresh,,,N/A,"The (adult) Improving Access to Psychological Therapies (IAPT), annual refresh data.",Apr 2016 - Mar 2017,Apr 2016,Mar 2017,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,1/9/18,,,N/A,N/A,N/A,N/A
NHSE_IAPT_AnnualRefresh,dbo,,N/A,The default schema for the data in the database.,N/A,N/A,N/A,,,Nathan Abbotts,1/9/18,,,N/A,N/A,N/A,N/A
NHSE_IAPT_AnnualRefresh,dbo,Appointment_1617,Table,An appointment is an interaction with a patient by a health care professional with the objective of making a contribution to the health care of the patient. This table holds details of each appointment. A patient may have multiple appointments which require recording. For 2016/17 annual refresh data.,Apr 2016 - Mar 2017,Apr 2016,Mar 2017,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,1/9/18,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT_AnnualRefresh,dbo,Assessments_1617,Table,This table should contain details of each IAPT Assessment Patient Experience Questionnaire administered for a patient by a healthcare professional. For 2016/17 annual refresh data.,Apr 2016 - Mar 2017,Apr 2016,Mar 2017,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,1/9/18,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT_AnnualRefresh,dbo,Disability_1617,Table,"This table holds details of patient disability. A patient may have multiple disabilities, or they may have none. Co-morbid physical or mental health disability should be collected early in the care pathway, some even prior to initial assessment where this data is available from the referrer. Any disabilities which are present should be recorded within this table. For 2016/17 annual refresh data.",Apr 2016 - Mar 2017,Apr 2016,Mar 2017,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,1/9/18,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT_AnnualRefresh,dbo,Header_1617,Table,Contains the metadata relating to the submission file. For 2016/17 annual refresh data.,Apr 2016 - Mar 2017,Apr 2016,Mar 2017,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,1/9/18,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT_AnnualRefresh,dbo,Person_1617,Table,"This table will contain personal demographic data that relates to individual patient differences such as age, faith, gender, ethnicity, employment status, and sexuality.
The patient is someone in receipt of services for depression or anxiety. Patient details should be captured at the time of registration. For 2016/17 annual refresh data.",Apr 2016 - Mar 2017,Apr 2016,Mar 2017,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,1/9/18,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT_AnnualRefresh,dbo,Referral_1617,Table,"A referral is a request for a care service to be provided for a patient. It includes self referrals. Whilst a patient may have multiple referrals which require recording within the table, only one record is required for each referral. For 2016/17 annual refresh data.",Apr 2016 - Mar 2017,Apr 2016,Mar 2017,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,1/9/18,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT_AnnualRefresh,dbo,Treatments_1617,Table,This table should contain details of each IAPT Treatment Patient Experience Questionnaire administered for a patient by a healthcare professional. For 2016/17 annual refresh data.,Apr 2016 - Mar 2017,Apr 2016,Mar 2017,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,1/9/18,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT_AnnualRefresh,dbo,WaitingTimes_1617,Table,This table should contain a record for each separate period of Activity Suspension for a patient. For 2016/17 annual refresh data.,Apr 2016 - Mar 2017,Apr 2016,Mar 2017,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,1/9/18,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT_Pilot,,,N/A,"Pilot data for the impact of 'Integrated IAPT' services co-located in and integrated with physical health services, focused on people with anxiety/depression in the context of Long Term Conditions (LTCs) and/or Medically Unexplained Symptoms (MUS).

This pilot exercise is linked to the existing IAPT data set standard through the collection of LTC and/or MUS data from participating IAPT providers and services. More details at: https://www.england.nhs.uk/mentalhealth/adults/iapt/mus/sites/",Jan 2017 - Ongoing,Jan 2017, Ongoing,,,Nathan Abbotts,11/7/17,,,N/A,N/A,N/A,N/A
NHSE_IAPT_Pilot,dbo,,N/A,The default schema for the data in the database.,N/A,N/A,N/A,,,Nathan Abbotts,11/7/17,,,N/A,N/A,N/A,N/A
NHSE_IAPT_Pilot,dbo,LTCAPPOINTMENT,Table,An appointment is an interaction with a patient by a health care professional with the objective of making a contribution to the health care of the patient. This table holds details of LT condition pilot information gathered at each appointment. A patient may have multiple appointments which require recording.,Jan 2017 - Ongoing,Jan 2017, Ongoing,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_IAPT_Pilot,dbo,LTCCSRI3MONTHS,Table,This table should contain details of the Client Service Receipt Inventory (CSRI) in the last 3 months.,Jan 2017 - Ongoing,Jan 2017, Ongoing,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_IAPT_Pilot,dbo,LTCHEADER,Table,Contains the metadata relating to the submission file.,Jan 2017 - Ongoing,Jan 2017, Ongoing,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_IAPT_Pilot,dbo,LTCLONGTERMCONDITION,Table,This table should contain details of each long term condition the patient has.,Jan 2017 - Ongoing,Jan 2017, Ongoing,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_IAPT_Pilot,dbo,LTCMUS,Table,This table should contain details of each medical unexplained symptom. This should have one record per patient/referral combination.,Jan 2017 - Ongoing,Jan 2017, Ongoing,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,,,N/A,"The mental health data. This includes several datasets, including the Mental Health Services Data Set (MHSDS), Mental Health Learning Disabilities Data set (MHLDDS) and Mental Health Minimum Data Set (MHMDS).",Apr 2013 - Ongoing,Apr 2013, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,N/A,N/A,N/A,N/A
NHSE_Mental_Health,dbo,,N/A,The default schema for the data in the database.,N/A,N/A,N/A,,,Nathan Abbotts,11/7/17,,,N/A,N/A,N/A,N/A
NHSE_Mental_Health,internal,,N/A,The default schema for the meta data in the database.,N/A,N/A,N/A,,,Nathan Abbotts,11/7/17,,,N/A,N/A,N/A,N/A
NHSE_Mental_Health,dbo,Master_MHS000_Header,Table,Contains the metadata relating to the submission file.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS001_MPI,Table,The personal details of the person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS002_GP,Table,Details of the GP Practice Registration of the person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS003_Accomodation,Table,Accommodation details of the person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS004_Employment,Table,Details of the employment status of  the person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS005_Patient_Indicators,Table,Details of specific indicators relating to a person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS006_MH_Care_Coord,Table,Details of the Mental Health Care Coordinator assigned to a person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS007_Disability_Type,Table,"The details of the type of disability affecting a person, based on their perception or the perception of a patient proxy.",Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS008_MH_CrisisPlanType,Table,"Details of Care Plans created for a patient by the organisation, excluding Discharge Plans which are contained in the Service of Team Referral table.",Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS009_CarePlanAgreement,Table,"Details of any agreements to a Care Plan by a person, team or organisation.",Apr 2017 - Ongoing,Apr 2017, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS010_AssTechToSupportDisTyp,Table,The details of when assistive technology is used to support a disabled patient.,Apr 2017 - Ongoing,Apr 2017, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS101_Referral,Table,Details of the referral that the patient is subject to.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS102_ServiceTypeReferredTo,Table,Details of the service or team that a patient is referred to.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS103_OtherReasonReferral,Table,Details of additional reasons why a person has been referred to a specific service.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS104_RTT,Table,Referral to treatment (RTT) details for the person's referral.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS105_OnwardReferral,Table,Details of any onward referral of the person which has taken place.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS106_DischargePlanAgreement,Table,"Details of any agreements to a  Discharge Plan by a person, team or organisation.",Apr 2017 - Ongoing,Apr 2017, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS201_CareContact,Table,Details of any contacts with a patient which have taken place as part of a referral.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS202_CareActivity,Table,Details of any care activity undertaken at a Care Contact.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS203_OtherAttend,Table,Details of any other people in attendance at a Care Contact.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS204_IndirectActivity,Table,Details of indirect activity which takes place as a result of the referral.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS301_GroupSession,Table,Details of any group sessions which have been provided to a group of people during the reporting period.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS401_MHActPeriod,Table,Details of mental health act legal status classification periods for people formally detained under the mental health act 1983 or other acts.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS402_MH_RespClinicalAss,Table,Details of the assignment of a Mental Health Responsible Clinician to the person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS403_ConditionalDischarge,Table,Details of each separate period of conditional discharge for the person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS404_Community_TreatmentOrder,Table,Details of each separate period of a Community Treatment Order under section 17a of the Mental Health Act 1983 for the person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS405_Community_TreatmentOrder_Recall,Table,Details of each separate period of recall into hospital for a person on a Community Treatment Order under section 17a of the Mental Health Act 1983.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS501_Hosp_Provider_Spell,Table,Details of each Hospital Provider Spell for a patient.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS502_WardStay,Table,Details of Ward Stays which occurred during a Hospital Provider Spell for the person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS503_AssignedProfCare,Table,Details of the Care Professional assigned responsibility for the care of the patient.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS504_DelayedDischarge,Table,Details of the person's Mental Health Delayed Discharge Periods which occurred during a Hospital Provider Spell.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS505_RestrictiveIntervention,Table,"Details of each separate reported incident of a Restrictive Intervention of the person by one or more members of staff in response to aggressive behaviour or resistance to treatment, during a Hospital Provider Spell.",Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS506_Assault,Table,Details of each separate reported incident of assault on the patient by another patient during a Hospital Provider Spell.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS507_SelfHarm,Table,Details of each separate reported incident of self-harm by the person.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS509_HomeLeave,Table,Details of each separate period of Home Leave from a Hospital Provider Spell for a person who is NOT liable for detention under the Mental Health Act 1983 and who is NOT on a Community Treatment Order.,Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_Mental_Health,dbo,Master_MHS510_LeaveOfAbsence,Table,"Details of each separate period of Mental Health Leave of Absence under section 17 of the Mental Health Act 1983, as amended by the Mental Health (Patients in the Community) Act 1995, involving an overnight stay for the person.",Jan 2016 - Ongoing,Jan 2016, Ongoing,http://content.digital.nhs.uk/mhsds,NHS Digital - Mental Health,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
