,Definition ID,Database,Table,Data Item,Description,Data type,Is_Derived_Item,Derivation_Methodology ,Data Dictionary Name,Data Dictionary Links,Technical check,Business check
,1966,NHSE_IAPT,IAPT_Referral,ENDCODE,A classification which identifies the reason for the termination of an Improving Access to Psychological Therapies Care Spell as determined by the CARE PROFESSIONAL.,varchar(2),No,,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES CARE SPELL END CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imp/improving_access_to_psychological_therapies_care_spell_end_code_de.asp?shownav=1,ZA & AH,SS
,1967,NHSE_IAPT,IAPT_Referral,ENDDATE,END DATE (IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES) is the date the PATIENT is deemed by the CARE PROFESSIONAL to have completed treatment and discharged from the Improving Access to Psychological Therapies Service.,date,No,,END DATE (IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/e/en/end_date_(improving_access_to_psychological_therapies)_de.asp?shownav=1,ZA & AH,SS
,1968,NHSE_IAPT,IAPT_Referral,AGE_AT_REF_RECEIVED_DATE,Age of the patient at the REFERRAL REQUEST RECEIVED DATE.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by calculating REFERRAL REQUEST RECEIVED DATE minus PERSON BIRTH DATE.",,,ZA & AH,SS
,1969,NHSE_IAPT,IAPT_Referral,AGE_AT_REF_END_DATE,Age of the patient at the REFERRAL TO TREATMENT PERIOD END DATE.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by calculating REFERRAL TO TREATMENT PERIOD END DATE minus PERSON BIRTH DATE.",,,ZA & AH,SS
,1970,NHSE_IAPT,IAPT_Referral,IC_FIRST_PSYCHOTROPIC_INDICATOR,"The first recorded psychotropic medication indicator (PSCYHMED), taken from the first appointment in the referral period.",varchar(2),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,1971,NHSE_IAPT,IAPT_Referral,IC_LAST_PSYCHOTROPIC_INDICATOR,"The last recorded psychotropic medication indicator (PSCYMED), taken from the last appointment in the referral period.",varchar(2),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,1972,NHSE_IAPT,IAPT_Referral,IC_FIRST_SICKPAY_INDICATOR,"The first recorded statutory sick pay indicator (SPPIND), taken from the first appointment in the referral period.",varchar(1),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the first result of the statutory sick pay indicator for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1973,NHSE_IAPT,IAPT_Referral,IC_LAST_SICKPAY_INDICATOR,"The last recorded statutory sick pay indicator (SSPIND), taken from the last appointment in the referral period.",varchar(1),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the last result of the statutory sick pay indicator for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1974,NHSE_IAPT,IAPT_Referral,IC_FIRST_PHQ9,"The first outcome score for the Patient Health Questionnaire-9 (PHQ9), taken from the first appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the first result of the Patient Health Questionnaire-9 (PHQ9) for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1975,NHSE_IAPT,IAPT_Referral,IC_LAST_PHQ9,"The last outcome score for the Patient Health Questionnaire-9 (PHQ9), taken from the last appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the last result of the patient health questionnaire-9 (PHQ9) for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1976,NHSE_IAPT,IAPT_Referral,IC_FIRST_GAD,"The first outcome score for the generalised anxiety disorder questionnaire (GAD7), taken from the first appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the first result of the generalised anxiety disorder questionnaire for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1977,NHSE_IAPT,IAPT_Referral,IC_LAST_GAD,"The last outcome score for the Generalised Anxiety Disorder questionnaire (GAD7), taken from the last appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the last result of the Generalised Anxiety Disorder questionnaire for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1978,NHSE_IAPT,IAPT_Referral,IC_FIRST_AGORA_MOB_ACCOM,"The first outcome score for the agoraphobia mobility inventory questionnaire 'when accompanied' (AGORASCOREACC), taken from the first appointment in the referral period.",decimal,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,1979,NHSE_IAPT,IAPT_Referral,IC_LAST_AGORA_MOB_ACCOM,"The last outcome score for the agoraphobia mobility inventory questionnaire 'when accompanied' (AGORASCOREACC), taken from the last appointment in the referral period.",decimal,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,1980,NHSE_IAPT,IAPT_Referral,IC_FIRST_AGORA,"The first outcome score for the agoraphobia questionnaire (AGORASCORE), taken from the first appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,1981,NHSE_IAPT,IAPT_Referral,IC_LAST_AGORA,"The last outcome score for the agoraphobia questionnaire (AGORASCORE), taken from the last appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,1982,NHSE_IAPT,IAPT_Referral,IC_FIRST_PENN_STATE,"The first outcome score for the Generalised Anxiety Disorder Penn State worry questionnaire (GENANXSCORE), taken from the first appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,1983,NHSE_IAPT,IAPT_Referral,IC_LAST_PENN_STATE,"The last outcome score for the Generalised Anxiety Disorder Penn State worry questionnaire (GENANXSCORE), taken from the last appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,1984,NHSE_IAPT,IAPT_Referral,IC_FIRST_ANXIETY_INVENTORY,"The first outcome score for the health anxiety inventory short week scale (HEALTHANXSCORE), taken from the first appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the first result of the health anxiety inventory short week scale for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1985,NHSE_IAPT,IAPT_Referral,IC_LAST_ANXIETY_INVENTORY,"The last outcome score for the health anxiety inventory short week scale (HEALTHANXSCORE), taken from the last appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the last result of the health anxiety inventory short week scale for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1986,NHSE_IAPT,IAPT_Referral,IC_FIRST_OCD,"The first outcome score for the obsessive compulsive disorder inventory questionnaire (OCDSCORE), taken from the first appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the first result of the obsessive compulsive disorder inventory questionnaire for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1987,NHSE_IAPT,IAPT_Referral,IC_LAST_OCD,"The last outcome score for the Obsessive Compulsive Disorder inventory questionnaire (OCDSCORE), taken from the last appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the last result of the obsessive compulsive disorder inventory questionnaire for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1988,NHSE_IAPT,IAPT_Referral,IC_FIRST_PANIC_DISORDER,"The first outcome score for the panic disorder severity scale (PANICSCORE), taken from the first appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the first result of the panic disorder severity scale for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1989,NHSE_IAPT,IAPT_Referral,IC_LAST_PANIC_DISORDER,"The last outcome score for the panic disorder severity scale (PANICSCORE), taken from the last appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the last result of the panic disorder severity scale for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1990,NHSE_IAPT,IAPT_Referral,IC_FIRST_PTSD,"The first outcome score for the post traumatic stress disorder impacts of events scale (PTSDSCORE), taken from the first appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the first result of the post traumatic stress disorder impacts of events scale for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1991,NHSE_IAPT,IAPT_Referral,IC_LAST_PTSD,"The last outcome score for the post traumatic stress disorder impacts of events scale (PTSDSCORE), taken from the last appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the last result of the post traumatic stress disorder impacts of events scale for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1992,NHSE_IAPT,IAPT_Referral,IC_FIRST_SOCIAL_PHOBIA_INVENTORY,"The first outcome score for the social phobia inventory questionnaire (SOCPHOBIAINVSCORE), taken from the first appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the first result of the social phobia inventory questionnaire for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1993,NHSE_IAPT,IAPT_Referral,IC_LAST_SOCIAL_PHOBIA_INVENTORY,"The last outcome score for the social phobia inventory questionnaire (SOCPHOBIAINVSCORE), taken from the last appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the last result of the social phobia inventory questionnaire for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,1994,NHSE_IAPT,IAPT_Referral,IC_FIRST_SPECIFIC_PHOBIA,"The first outcome score for the specific phobia questionnaire (SPECPHOBIASCORE), taken from the first appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,1995,NHSE_IAPT,IAPT_Referral,IC_LAST_SPECIFIC_PHOBIA,"The last outcome score for the Specific Phobia Questionnaire (SPECPHOBIASCORE), taken from the last appointment in the referral period.",int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,1996,NHSE_IAPT,IAPT_Referral,IC_FIRST_EMPSTATUS,"The first recorded employment status, taken from the first appointment in the referral period.",varchar(2),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,1997,NHSE_IAPT,IAPT_Referral,IC_LAST_EMPSTATUS,"The last recorded employment status, taken from the last appointment in the referral period.",varchar(2),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,1998,NHSE_IAPT,IAPT_Referral,IC_DATE_LAST_APPOINTMENT,Date of the last attended appointment (excluding follow up).,date,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,1999,NHSE_IAPT,IAPT_Referral,IC_SOURCE_PERIOD_ID,Monthly reporting period in which the referral was submitted.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2000,NHSE_IAPT,IAPT_Referral,IC_INACTIVE_TIMESTAMP,"Not set for records where the reporting period is the maximum held within the database. Where this is not the case, the record is open and the episode cannot be found in a superseding reporting period, the record is date stamped as inactive. The date used is the first day of the next reporting period.",datetime,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,2001,NHSE_IAPT,IAPT_Referral,IC_RP_START_DATE,Start date of annual reporting period in which the referral was submitted.,datetime,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2002,NHSE_IAPT,IAPT_Referral,IC_RP_END_DATE,End date of annual reporting period in which the referral was submitted.,datetime,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2003,NHSE_IAPT,IAPT_Referral,IC_PROVDIAG,This is the cleansed provisional patient diagnosis (ICD-10) for the main condition treated or investigated during the relevant episode of healthcare.,varchar(6),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Special characters are removed, lower case characters are replaced with upper case characters, truncates codes that are too long, ‘O’s are replaced with ‘0’s, codes shorter than three characters are removed, an ‘X’ is added to the end of three character codes, codes with an ‘X’ in third position are cleansed and add an ‘X’ to the end of all codes which cannot be matched to ICD-10 reference data. Unmatched records are classed as ‘Invalid data supplied’ (-3) and Missing records are classed as ‘Unspecified’ (-1).",,,ZA & AH,SS
,2004,NHSE_IAPT,IAPT_Referral,IC_PROBDESC_PRIMARY,The primary problem descriptor category for reporting.,varchar(50),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2005,NHSE_IAPT,IAPT_Referral,IC_PROBDESC_SECONDARY,The secondary problem descriptor category for reporting (subset of the primary).,varchar(50),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2006,NHSE_IAPT,IAPT_Referral,IC_CCG,NHS Digital derived CCG responsible for commissioning the activity that took place in the record.,varchar(5),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
CCG code for the record, taken from other fields in the following priority order (from highest priority to lowest): ORGCODECOMM, CCG_OF_GP_PRACTICE, IC_CCG_OF_GP_PRACTICE, CCG_OF_RESIDENCE",,,ZA & AH,SS
,2007,NHSE_IAPT,IAPT_Referral,IC_CR,Commissioning region derived from IC_LAT.,varchar(3),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2008,NHSE_IAPT,IAPT_Referral,IC_DATE_FIRST_ASSESSMENT,Identifies the first attended appointment date that has an associated outcome score.,date,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Is the date of the first appointment a patient attended where the APPOINTMENT TYPE FOR IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES is Assessment or Assessment and Treatment.",,,ZA & AH,SS
,2009,NHSE_IAPT,IAPT_Referral,IC_DATE_FIRST_THERAPEUTIC_SESSION,Identifies the first attended appointment date that has an associated therapy type entry.,date,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Is the date of the first appointment a patient attended where the APPOINTMENT TYPE FOR IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES is Treatment, Assessment and Treatment or Review and Treatment.",,,ZA & AH,SS
,2010,NHSE_IAPT,IAPT_Referral,IC_DATE_SECOND_THERAPEUTIC_SESSION,Date of the second therapeutic session.,date,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Is the date of the second appointment a patient attended where the APPOINTMENT TYPE FOR IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES is Treatment, Assessment and Treatment or Review and Treatment.",,,ZA & AH,SS
,2011,NHSE_IAPT,IAPT_Referral,IC_DATE_LAST_THERAPEUTIC_SESSION,Date of the last attended treatment appointment (excluding follow up).,date,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Is the date of the last appointment a patient attended where the APPOINTMENT TYPE FOR IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES is Treatment, Assessment and Treatment or Review and Treatment.",,,ZA & AH,SS
,2012,NHSE_IAPT,IAPT_Referral,IC_DATE_LAST_ASSESSMENT,Identifies the last attended appointment date that has an associated outcome score or a relevant assessment appointment type.,date,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,2013,NHSE_IAPT,IAPT_Referral,IC_FIRST_WASASTOTAL,First score Work and Social Adjustment Scale Total Score (derived),decimal,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,2014,NHSE_IAPT,IAPT_Referral,IC_LAST_WASASTOTAL,"The last outcome score for the Work and Social Adjustment Scale (WSAS), taken from the last appointment in the referral period.",decimal,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
",,,ZA & AH,SS
,2015,NHSE_IAPT,IAPT_Referral,IC_FIRST_AGORA_MOB_ALONE_v1,"The first outcome score for the agoraphobia mobility inventory questionnaire 'when alone' (AGORASCOREALONE), taken from the first appointment in the referral period.",decimal,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the first result of the agoraphobia mobility inventory questionnaire 'when alone' for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,2016,NHSE_IAPT,IAPT_Referral,IC_LAST_AGORA_MOB_ALONE_v1,"The last outcome score for the agoraphobia mobility inventory questionnaire 'when alone' (AGORASCOREALONE), taken from the last appointment in the referral period.",decimal,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the last result of the agoraphobia mobility inventory questionnaire 'when alone' for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,2017,NHSE_IAPT,IAPT_Referral,IC_FIRST_AGORA_MOB_ALONE_v1_5,"The first outcome score for the agoraphobia mobility inventory questionnaire 'when alone' (AGORASCOREALONE), taken from the first appointment in the referral period when both first and last scores are in v1.5.",decimal,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the first result of the agoraphobia mobility inventory questionnaire 'when alone' for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,2018,NHSE_IAPT,IAPT_Referral,IC_LAST_AGORA_MOB_ALONE_v1_5,"The last outcome score for the agoraphobia mobility inventory questionnaire 'when alone' (AGORASCOREALONE), taken from the last appointment in the referral period when both first and last scores are in v1.5.",decimal,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived by taking the last result of the agoraphobia mobility inventory questionnaire 'when alone' for each patient pathway, only including appointments that the patient attended that were not follow-up appointments after treatment end.",,,ZA & AH,SS
,2019,NHSE_IAPT,IAPT_Referral,IC_COUNT_CCBT_SESSIONS,The total number of Computerised Cognitive Behavioural Therapy (CCBT) sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2020,NHSE_IAPT,IAPT_Referral,IC_COUNT_PURE_SELF_HELP_SESSIONS,The total number of pure self help (e.g. prescription books) appointments in the referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2021,NHSE_IAPT,IAPT_Referral,IC_COUNT_GUIDED_SELF_HELP_SESSIONS,The total number of guided self-help sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2022,NHSE_IAPT,IAPT_Referral,IC_COUNT_PSYCOEDUC_GROUP_SESSIONS,The total number of Psychoeducational peer support sessions for IAPT within the referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2023,NHSE_IAPT,IAPT_Referral,IC_COUNT_EMPLOYMENT_SUPPORT_SESSIONS,The total number of employment support sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2024,NHSE_IAPT,IAPT_Referral,IC_COUNT_BEHAVIOURAL_ACTIVATION_SESSIONS,The total number of behaviour activation sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2025,NHSE_IAPT,IAPT_Referral,IC_COUNT_CBT_SESSIONS,The total number of Cognitive Behavioural Therapy (CBT) sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2026,NHSE_IAPT,IAPT_Referral,IC_COUNT_IPT_SESSIONS,The total number of Interpersonal Psychotherapy (IPT) sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2027,NHSE_IAPT,IAPT_Referral,IC_COUNT_COUNSELLING_SESSIONS,The total number of counselling sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2028,NHSE_IAPT,IAPT_Referral,IC_COUNT_COUPLES_THERAPY_SESSIONS,The total number of couples therapy sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2029,NHSE_IAPT,IAPT_Referral,IC_COUNT_DYNAMIC_THERAPY_SESSIONS,The total number of dynamic therapy sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2030,NHSE_IAPT,IAPT_Referral,IC_COUNT_OTHER_LI,The total number of other low intensity therapy sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2031,NHSE_IAPT,IAPT_Referral,IC_COUNT_OTHER_HI,The total number of other high intensity therapy sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2032,NHSE_IAPT,IAPT_Referral,IC_COUNT_NOT_SPECIFIED,The total number of not specified therapy sessions for IAPT within a referral.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2033,NHSE_IAPT,IAPT_Referral,IC_COUNT_CCBT_SESSIONS_INYEAR,The total number of Computerised Cognitive Behavioural Therapy (CCBT) sessions for IAPT within a referral within the year.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2034,NHSE_IAPT,IAPT_Referral,IC_COUNT_PURE_SELF_HELP_SESSIONS_INYEAR,The total number of pure self help (e.g. prescription books) appointments in the referral within the year.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2035,NHSE_IAPT,IAPT_Referral,IC_COUNT_GUIDED_SELF_HELP_SESSIONS_INYEAR,The total number of guided self-help sessions for IAPT within a referral within the year.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2036,NHSE_IAPT,IAPT_Referral,IC_COUNT_PSYCOEDUC_GROUP_SESSIONS_INYEAR,The total number of Psychoeducational peer support sessions for IAPT within a referral within the year.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
,2037,NHSE_IAPT,IAPT_Referral,IC_COUNT_EMPLOYMENT_SUPPORT_SESSIONS_INYEAR,The total number of employment support sessions for IAPT within a referral within the year.,int,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.",,,ZA & AH,SS
