,Definition ID,Database,Table,Data Item,Description,Data type,Is_Derived_Item,Derivation_Methodology,Data Dictionary Name,Data Dictionary Links,Technical check,Business check,RK 2
,641,NHSE_SEM_Live,tbl_Data_SEM_APCE,Age_at_CDS_Activity_Date,AGE AT CDS ACTIVITY DATE is derived as the number of completed years between the PERSON BIRTH DATE of the PATIENT and the CDS ACTIVITY DATE.,int,No,,AGE AT CDS ACTIVITY DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/age_at_cds_activity_date_de.asp?shownav=1?,RK,? AGE AT CDS ACTIVITY DATE ID 1023 has data type as smallint,DT issue
,1023,NHSE_SEM_Live,tbl_Data_SEM_APCS,Age_At_CDS_Activity_Date,AGE AT CDS ACTIVITY DATE is derived as the number of completed years between the PERSON BIRTH DATE of the PATIENT and the CDS ACTIVITY DATE.,smallint,No,,AGE AT CDS ACTIVITY DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/age_at_cds_activity_date_de.asp?shownav=1?,RK,? AGE AT CDS ACTIVITY DATE ID 641 has data type as int,DT issue
,673,NHSE_SEM_Live,tbl_Data_SEM_APCE,Age_at_End_of_Episode_SUS,The age of the patient at the date of the end of the episode.,int,No,,,,RK,SS,
,1025,NHSE_SEM_Live,tbl_Data_SEM_APCS,Age_At_End_of_Spell_SUS,The age of the patient at the date of the end of the spell.,int,Yes,Takes the Age_at_End_of_Episode from the episode within the spell with Last_Ep_Ind of '1'.,,,RK,SS,
,674,NHSE_SEM_Live,tbl_Data_SEM_APCE,Age_at_Start_of_Episode_SUS,The age of the patient at the date of the start of the episode.,int,No,,,,RK,SS,
,1024,NHSE_SEM_Live,tbl_Data_SEM_APCS,Age_At_Start_of_Spell_SUS,AGE ON ADMISSION is derived as the number of completed years between the PERSON BIRTH DATE of the PATIENT and the START DATE (HOSPITAL PROVIDER SPELL).,int,No,,AGE ON ADMISSION,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/age_on_admission_de.asp?shownav=1?,RK,SS,
,586,NHSE_SEM_Live,tbl_Data_SEM_APCE,Age_Group_Intended_At_Episode_End,The age group of PATIENTS intended to use a WARD indicated in the operational plan.,varchar(1),No,,INTENDED AGE GROUP,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/intended_age_group_de.asp?shownav=1,RK,"? Would INTENDED AGE GROUP be more useful? It's the same as AGE GROUP INTENDED, with the addition of Home Leave",Yes. Data includes some '9's (home leave).
,576,NHSE_SEM_Live,tbl_Data_SEM_APCE,Age_Group_Intended_At_Episode_Start,The age group of PATIENTS intended to use a WARD indicated in the operational plan.,varchar(1),No,,INTENDED AGE GROUP,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/intended_age_group_de.asp?shownav=1,RK,"? Would INTENDED AGE GROUP be more useful? It's the same as AGE GROUP INTENDED, with the addition of Home Leave",Yes. Data includes some '9's (home leave).
,644,NHSE_SEM_Live,tbl_Data_SEM_APCE,Age_on_Admission,AGE ON ADMISSION is derived as the number of completed years between the PERSON BIRTH DATE of the PATIENT and the START DATE (HOSPITAL PROVIDER SPELL).,int,No,,AGE ON ADMISSION,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/age_on_admission_de.asp?shownav=1?,RK,SS,
,652,NHSE_SEM_Live,tbl_Data_SEM_APCE,Age_Range_Mother_SUS,Not currently completed in the NCDR.,int,No,,,,RK,SS,
,651,NHSE_SEM_Live,tbl_Data_SEM_APCE,Age_Range_SUS,The age range of the patient derived from the date of birth. Derived by NHS Digital prior to import to the NCDR.,int,No,,,,RK,SS,
,557,NHSE_SEM_Live,tbl_Data_SEM_APCE,Agreement_Line_Number,A number (alphanumeric) to provide a unique identifier for a line within a NHS SERVICE AGREEMENT.,varchar(13),No,,NHS SERVICE AGREEMENT LINE NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/n/nhs/nhs_service_agreement_line_number_de.asp?shownav=1,RK,? DD suggests varchar(10),DT issue
,1044,NHSE_SEM_Live,tbl_Data_SEM_APCS,Agreement_Line_Number,A number (alphanumeric) to provide a unique identifier for a line within a NHS SERVICE AGREEMENT.,varchar(13),No,,NHS SERVICE AGREEMENT LINE NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/n/nhs/nhs_service_agreement_line_number_de.asp?shownav=1,RK,? DD suggests varchar(10),DT issue
,597,NHSE_SEM_Live,tbl_Data_SEM_APCE,Ambulance_Incident_Number,AMBULANCE INCIDENT NUMBER is the same as attribute PATIENT JOURNEY NUMBER (An identifier for each PATIENT TRANSPORT JOURNEY).,varchar(20),No,,AMBULANCE INCIDENT NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/ambulance_incident_number_de.asp?shownav=1,RK,SS,
,621,NHSE_SEM_Live,tbl_Data_SEM_APCE,Anaesthetic_Given_During_Labour,The type of anaesthetic and/or analgesic administered to the mother during or after Labour and Delivery.,varchar(1),No,,ANAESTHETIC GIVEN DURING LABOUR OR DELIVERY,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anaesthetic_given_during_labour_or_delivery_code_de.asp?shownav=1,RK,? Would DD link http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anaesthetic_given_during_labour_or_delivery_code_de.asp?shownav=1 be more suitable?,Y
,622,NHSE_SEM_Live,tbl_Data_SEM_APCE,Anaesthetic_Given_Post_Delivery,The type of anaesthetic and/or analgesic administered to the mother during or after Labour and Delivery.,varchar(1),No,,ANAESTHETIC GIVEN DURING LABOUR OR DELIVERY,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anaesthetic_given_during_labour_or_delivery_code_de.asp?shownav=1,RK,? Would DD link http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anaesthetic_given_post_labour_or_delivery_code_de.asp?shownav=1 be more suitable?,Y
,474,NHSE_SEM_Live,tbl_Data_SEM_APCE,APCE_DSCRO_Code,The DSCRO responsible for submitting the data.  Largely used for data processing rather than analysis.,varchar(3),Yes,Taken directly from the imported file to identify the DSCRO from which the data was received.,,,RK,SS,
,473,NHSE_SEM_Live,tbl_Data_SEM_APCE,APCE_File_ID,An identifier to distinguish between the APCE files during the load process.,int,Yes,Taken directly from the imported SEM APC (Admitted Patient Care Episodes) table.,,,RK,SS,
,470,NHSE_SEM_Live,tbl_Data_SEM_APCE,APCE_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCE_*  tables.,bigint,Yes,A unique integer assigned to the record in sequential order.  Does not represent any information about the patient.,,,RK,SS,
,471,NHSE_SEM_Live,tbl_Data_SEM_APCE,APCE_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,SS,
,475,NHSE_SEM_Live,tbl_Data_SEM_APCE,APCE_PCD_Indicator,"Indicates whether the episode contains any PCD in free text fields. Any PCD is removed from the text fields and replaced with a marker within the string, e.g. if an NHS Number is found this is replaced with the text ""_<NHS_No>_"".",varchar(1),Yes,"Prior to pseudonymisation and publication, eight free text fields (Unique_CDS_Identifier, Unique_Booking_Reference_Number_Converted, Local_Patient_ID, Patient_Pathway_ID, Provider_Reference_Number, Commissioner_Reference_Number, Agreement_Line_Number, Hospital_Spell_No) are scanned for NHS Number, Postcode and Date of Birth of the patient.  If any of these are found, the patient confidential data held within that field is stripped and replaced with a marker ('_<NHS_No>_', _<PC_' or '_<DoB_') and the record is flagged with a '1' in APCE_PCD_Indicator. ",,,RK,SS,
,472,NHSE_SEM_Live,tbl_Data_SEM_APCE,APCE_Raw_ID,An identifier on the raw data which is imported used during loading and processing.,bigint,Yes,An identifier for each record within the imported data table.  Is solely used to ensure loading and processing is done correctly.,,,RK,SS,
,478,NHSE_SEM_Live,tbl_Data_SEM_APCE,APCS_First_Ep_Ind,Indicates whether the episode is the first (admission) episode within the spell (0 or 1).,varchar(1),Yes,"Within each spell, episodes are numbered according to the order they occur in.  This field flags the first episode in each spell.",,,RK,SS,
,476,NHSE_SEM_Live,tbl_Data_SEM_APCE,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record in sequential order.  Does not represent any information about the patient.,,,RK,SS,
,1005,NHSE_SEM_Live,tbl_Data_SEM_APCS,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record in sequential order.  Does not represent any information about the patient.,,,RK,SS,
,479,NHSE_SEM_Live,tbl_Data_SEM_APCE,APCS_Last_Ep_Ind,LAST EPISODE IN SPELL INDICATOR CODE is a derived data element which identifies whether the consultant episode is the final episode in the Hospital Provider Spell.,varchar(1),Yes,"For each APCS_Ident, the episode with the highest Der_Episode_Number is flagged with a '1' (where it is not a duplicate) indicating that it is the last episode in the spell.",LAST EPISODE IN SPELL INDICATOR CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/l/last_episode_in_spell_indicator_code_de.asp,RK,SS,
,477,NHSE_SEM_Live,tbl_Data_SEM_APCE,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,SS,
,1006,NHSE_SEM_Live,tbl_Data_SEM_APCS,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,SS,
,1007,NHSE_SEM_Live,tbl_Data_SEM_APCS,APCS_PCD_Indicator,"Indicates whether the spell contains any PCD in free text fields. Any PCD is removed from the text fields and replaced with a marker within the string, e.g. if an NHS Number is found this is replaced with the text ""_<NHS_No>_"".",varchar(1),Yes,"Prior to pseudonymisation and publication, eight free text fields (Unique_CDS_Identifier, Unique_Booking_Reference_Number_Converted, Local_Patient_ID, Patient_Pathway_ID, Provider_Reference_Number, Commissioner_Reference_Number, Agreement_Line_Number, Hospital_Spell_No) are scanned for NHS Number, Postcode and Date of Birth of the patient.  If any of these are found, the patient confidential data held within that field is stripped and replaced with a marker ('_<NHS_No>_', _<PC_' or '_<DoB_') and the record is flagged with a '1' in APCS_PCD_Indicator. ",,,RK,SS,
,489,NHSE_SEM_Live,tbl_Data_SEM_APCE,Applicable_Date_Time,The date and time of the update event (or the nearest equivalent) that resulted in the need to exchange this CDS.,datetime,No,,"CDS APPLICABLE DATE
CDS APPLICABLE TIME

","http://www.datadictionary.nhs.uk/version2/data_dictionary/data_field_notes/c/cds_applicable_date_de.asp?shownav=1
http://www.datadictionary.nhs.uk/version2/data_dictionary/data_field_notes/c/cds_applicable_time_de.asp?shownav=1",RK,SS,
,1013,NHSE_SEM_Live,tbl_Data_SEM_APCS,Applicable_Date_Time,The date and time of the update event (or the nearest equivalent) that resulted in the need to exchange this CDS.,datetime,No,,"CDS APPLICABLE DATE
CDS APPLICABLE TIME

","http://www.datadictionary.nhs.uk/version2/data_dictionary/data_field_notes/c/cds_applicable_date_de.asp?shownav=1
http://www.datadictionary.nhs.uk/version2/data_dictionary/data_field_notes/c/cds_applicable_time_de.asp?shownav=1",RK,SS,
,672,NHSE_SEM_Live,tbl_Data_SEM_APCE,Area_code_from_Provider_Postcode_SUS,Area code of the postcode of the provider.  Derived by NHS Digital prior to importing to the NCDR.,varchar(4),No,,,,RK,SS,
,1077,NHSE_SEM_Live,tbl_Data_SEM_APCS,Area_code_from_Provider_Postcode_SUS,Area code of the postcode of the provider.  Derived by NHS Digital prior to importing to the NCDR.,varchar(4),No,,,,RK,SS,
,653,NHSE_SEM_Live,tbl_Data_SEM_APCE,Area_Code_SUS,Area code of the postcode of place of usual residence of the patient.  Derived by NHS Digital prior to importing to the NCDR.,varchar(4),No,,,,RK,SS,
,1063,NHSE_SEM_Live,tbl_Data_SEM_APCS,Area_Code_SUS,Area code of the postcode of place of usual residence of the patient.  Derived by NHS Digital prior to importing to the NCDR.,varchar(4),No,,,,RK,SS,
,501,NHSE_SEM_Live,tbl_Data_SEM_APCE,Birth_Weight,"BIRTH WEIGHT is the Birth Weight, where the UNIT OF MEASUREMENT is 'Grams (g)'.",varchar(4),No,,BIRTH WEIGHT,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/b/be/birth_weight_de.asp?shownav=1,RK,SS,
,487,NHSE_SEM_Live,tbl_Data_SEM_APCE,Bulk_Replacement_CDS_Group,CDS BULK REPLACEMENT GROUP CODE is the Commissioning Data Set Group into which CDS Types must be grouped when using the Commissioning Data Set Bulk Replacement Update Mechanism.,varchar(3),No,,CDS BULK REPLACEMENT GROUP CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cd/cds_bulk_replacement_group_code_de.asp?shownav=1,RK,SS,
,503,NHSE_SEM_Live,tbl_Data_SEM_APCE,Carer_Support_Indicator,An indication of whether Carer support is available to the PATIENT at their normal residence.,varchar(2),No,,CARER SUPPORT INDICATOR,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/card/carer_support_indicator_de.asp?shownav=1?,RK,SS,
,1026,NHSE_SEM_Live,tbl_Data_SEM_APCS,Carer_Support_Indicator,An indication of whether Carer support is available to the PATIENT at their normal residence.,varchar(2),No,,CARER SUPPORT INDICATOR,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/card/carer_support_indicator_de.asp?shownav=1?,RK,SS,
,643,NHSE_SEM_Live,tbl_Data_SEM_APCE,CDS_Activity_Date,"For Commissioning data, every CDS Type has a ""CDS Originating Date"" contained within the Commissioning Data Set data that must be used to populate the CDS ACTIVITY DATE. In this case, it is END DATE (EPISODE).",date,No,,CDS ACTIVITY DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cd/cds_activity_date_de.asp?shownav=1,RK,SS,
,654,NHSE_SEM_Live,tbl_Data_SEM_APCE,CDS_Group,"Derived prior to import to the NCDR. '1' means Admitted Patient Care, '2' means Elective Admission List, '3' means Attendance and '4' means A&E.  This table will always show only '1'.",varchar(1),No,,,,RK,SS,
,497,NHSE_SEM_Live,tbl_Data_SEM_APCE,CDS_Interchange_ID,CDS INTERCHANGE SENDER IDENTITY is the assigned EDI Address of the physical Organisation or site responsible for sending Commissioning data.,varchar(20),No,,CDS INTERCHANGE SENDER IDENTITY,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cd/cds_interchange_sender_identity_de.asp?shownav=1,RK,? DD suggests varchar(15),DT issue
,483,NHSE_SEM_Live,tbl_Data_SEM_APCE,CDS_Type,CDS TYPE CODE is a code to identify the specific type of Commissioning Data Set data.,varchar(3),No,,CDS TYPE CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cd/cds_type_code_de.asp?shownav=1,RK,SS,
,678,NHSE_SEM_Live,tbl_Data_SEM_APCE,Census_Area_2001_SUS,"The 2001 census output areas, built from unit postcodes and constrained to the 2003 statistical wards, which will form the building blocks for defining higher level geographies in the future. A pseudo code is included for the Channel Islands and the Isle of Man.  Derived by NHS Digital prior to import to the NCDR.",varchar(10),No,,,,RK,SS,
,1078,NHSE_SEM_Live,tbl_Data_SEM_APCS,Census_Area_2001_SUS,"The 2001 census output areas, built from unit postcodes and constrained to the 2003 statistical wards, which will form the building blocks for defining higher level geographies in the future. A pseudo code is included for the Channel Islands and the Isle of Man.  Derived by NHS Digital prior to import to the NCDR.",varchar(10),No,,,,RK,SS,
,490,NHSE_SEM_Live,tbl_Data_SEM_APCE,Census_Date,CDS CENSUS DATE is the DATE on which the relevant census was undertaken.,date,No,,CDS CENSUS DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cd/cds_census_date_de.asp?shownav=1,RK,SS,
,681,NHSE_SEM_Live,tbl_Data_SEM_APCE,Census_ED_1991,The code for the 1991 Census Enumeration District (ED).,varchar(4),No,,Enumeration District,http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/e/enumeration_district_de.asp?shownav=1,RK,SS,
,1081,NHSE_SEM_Live,tbl_Data_SEM_APCS,Census_ED_1991,The code for the 1991 Census Enumeration District (ED).,varchar(4),No,,Enumeration District,http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/e/enumeration_district_de.asp?shownav=1,RK,SS,
,562,NHSE_SEM_Live,tbl_Data_SEM_APCE,Commissioner_Code,ORGANISATION CODE (CODE OF COMMISSIONER) is the ORGANISATION CODE of the Organisation commissioning health care.,varchar(6),No,,ORGANISATION CODE (CODE OF COMMISSIONER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_commissioner)_de.asp?shownav=1,RK,"? DD suggests varchar(3) or varchar(5), so varchar(5)?",DT issue
,1049,NHSE_SEM_Live,tbl_Data_SEM_APCS,Commissioner_Code,ORGANISATION CODE (CODE OF COMMISSIONER) is the ORGANISATION CODE of the Organisation commissioning health care.,varchar(6),No,,ORGANISATION CODE (CODE OF COMMISSIONER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_commissioner)_de.asp?shownav=1,RK,"? DD suggests varchar(3) or varchar(5), so varchar(5)?",DT issue
,563,NHSE_SEM_Live,tbl_Data_SEM_APCE,Commissioner_Org_Code_Type,ORGANISATION CODE TYPE is a code to identify the format and basis of the release of an NHS ORGANISATION CODE being used. Not completed in the NCDR.,varchar(5),No,,ORGANISATION CODE TYPE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_type_de.asp?shownav=1,RK,"? The ORGANISATION CODE TYPE variants have differing varchar(3), varchar (5) or varchar(8). Is this OK? Also, the DD suggests varchar(1)",DT issue
,1050,NHSE_SEM_Live,tbl_Data_SEM_APCS,Commissioner_Org_Code_Type,ORGANISATION CODE TYPE is a code to identify the format and basis of the release of an NHS ORGANISATION CODE being used. Not completed in the NCDR.,varchar(5),No,,ORGANISATION CODE TYPE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_type_de.asp?shownav=1,RK,"? The ORGANISATION CODE TYPE variants have differing varchar(3), varchar (5) or varchar(8). Is this OK? Also, the DD suggests varchar(1)",DT issue
,559,NHSE_SEM_Live,tbl_Data_SEM_APCE,Commissioner_Reference_Number,A number (alphanumeric) allocated by the commissioner to a REFERRAL REQUEST.,varchar(20),No,,COMMISSIONER REFERENCE NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/com/commissioner_reference_number_de.asp?shownav=1,RK,? DD suggests varchar(17),DT issue
,1046,NHSE_SEM_Live,tbl_Data_SEM_APCS,Commissioner_Reference_Number,A number (alphanumeric) allocated by the commissioner to a REFERRAL REQUEST.,varchar(20),No,,COMMISSIONER REFERENCE NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/com/commissioner_reference_number_de.asp?shownav=1,RK,? DD suggests varchar(17),DT issue
,556,NHSE_SEM_Live,tbl_Data_SEM_APCE,Commissioning_Serial_Number,COMMISSIONING SERIAL NUMBER is the same as attribute NHS SERVICE AGREEMENT NUMBER (a number used to uniquely identify a NHS SERVICE AGREEMENT by an Organisation acting as commissioner of patient care services).,varchar(6),No,,COMMISSIONING SERIAL NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/co/commissioning_serial_number_de.asp?shownav=1,RK,SS,
,1043,NHSE_SEM_Live,tbl_Data_SEM_APCS,Commissioning_Serial_Number,COMMISSIONING SERIAL NUMBER is the same as attribute NHS SERVICE AGREEMENT NUMBER (a number used to uniquely identify a NHS SERVICE AGREEMENT by an Organisation acting as commissioner of patient care services).,varchar(6),No,,COMMISSIONING SERIAL NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/co/commissioning_serial_number_de.asp?shownav=1,RK,SS,
,649,NHSE_SEM_Live,tbl_Data_SEM_APCE,Confidentiality_Category_SUS,"Indicates how confidential a record is, can be null (not marked as confidential), '2' (Extremely sensitive - all personal confidential data items will be null), '3' (Sensitive - if personal confidential data is supplied by provider it is pseudonymised by NHS Digital) or '4' (Other sensitive - all personal confidential data will be set to null by NHS Digital).  Derived by NHS Digital prior to import to the NCDR.",varchar(1),No,,,,RK,SS,
,564,NHSE_SEM_Live,tbl_Data_SEM_APCE,Consultant_Code,A code uniquely identifying a CONSULTANT.,varchar(8),No,,CONSULTANT CODE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/cons/consultant_code_de.asp?shownav=1,RK,SS,
,679,NHSE_SEM_Live,tbl_Data_SEM_APCE,Country,A unique code representing a COUNTRY.,varchar(50),No,,COUNTRY CODE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/cou/country_code_de.asp?shownav=1,RK,? DD suggests that ISO 3166-1 standard should be used for COUNTRY CODE which is varchar(3),DT issue
,1079,NHSE_SEM_Live,tbl_Data_SEM_APCS,Country,A unique code representing a COUNTRY.,varchar(50),No,,COUNTRY CODE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/cou/country_code_de.asp?shownav=1,RK,? DD suggests that ISO 3166-1 standard should be used for COUNTRY CODE which is varchar(3),DT issue
,680,NHSE_SEM_Live,tbl_Data_SEM_APCE,County_Code,A County is a GEOGRAPHIC AREA.,varchar(2),Yes,Joins to the ODS postcode reference table on Patient Postcode and takes the county code.,County,http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/c/county_de.asp?shownav=1?,RK,SS,
,1080,NHSE_SEM_Live,tbl_Data_SEM_APCS,County_Code,A County is a GEOGRAPHIC AREA.,varchar(2),Yes,Joins to the ODS postcode reference table on Patient Postcode and takes the county code.,County,http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/c/county_de.asp?shownav=1?,RK,SS,
,601,NHSE_SEM_Live,tbl_Data_SEM_APCE,Decided_To_Admit_Date,The date a DECISION TO ADMIT was made.,date,No,,DECIDED TO ADMIT DATE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/d/dec/decided_to_admit_date_de.asp?shownav=1,RK,SS,
,1059,NHSE_SEM_Live,tbl_Data_SEM_APCS,Decided_To_Admit_Date,The date a DECISION TO ADMIT was made.,datetime,No,,DECIDED TO ADMIT DATE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/d/dec/decided_to_admit_date_de.asp?shownav=1,RK,"? Data type should be date, as per DECIDED TO ADMIT DATE ID 601",DT issue
,625,NHSE_SEM_Live,tbl_Data_SEM_APCE,Delivery_Date,DELIVERY DATE records the date of delivery for each REGISTRABLE BIRTH and corresponds to the data element DATE.,date,No,,DELIVERY DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/del/delivery_date_de.asp?shownav=1,RK,SS,
,624,NHSE_SEM_Live,tbl_Data_SEM_APCE,Delivery_Onset_Method,"The method by which the process of labour began, or delivery by caesarean section occurred.",varchar(1),No,,LABOUR OR DELIVERY ONSET METHOD,http://www.datadictionary.nhs.uk/data_dictionary/attributes/l/labour_or_delivery_onset_method_de.asp?shownav=1,RK,SS,
,619,NHSE_SEM_Live,tbl_Data_SEM_APCE,Delivery_Place_Change_Reason,"If the place of delivery is different from the place originally intended, either in the type of place or geographically, the reasons for change should be classified.",varchar(1),No,,DELIVERY PLACE CHANGE REASON,http://www.datadictionary.nhs.uk/data_dictionary/attributes/d/dec/delivery_place_change_reason_de.asp?shownav=1,RK,? Perhaps take the words 'as below' out of the description as the reasons for change aren't provided?,Y
,620,NHSE_SEM_Live,tbl_Data_SEM_APCE,Delivery_Place_Type_Intended,"This is the delivery place type where the pregnant woman plans to have her baby. The first INTENDED DELIVERY PLACE type is recorded, as designated by the CARE PROFESSIONAL in consultation with the PATIENT.",varchar(2),No,,INTENDED DELIVERY PLACE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/i/int/intended_delivery_place_de.asp?shownav=1,RK,? Data type should be varchar(1) as per INTENDED DELIVERY PLACE ID 617 and suggested by the DD?,DT issue
