Definition ID,Database,Table,Schema,Data Item,Description,Data type,Is_Derived_Item,Derivation_Methodology,Data Dictionary Name,Data Dictionary Links,Checked,Business check,RK 2
96,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Der,dbo,AEA_Raw_ID,"An identifier on the raw data, i.e. assigned by NHS Digital prior to import to the NCDR, used during loading and processing.",bigint,No,,,,RK,AP,clarified
117,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Der,dbo,AEA_Raw_ID,"An identifier on the raw data, i.e. assigned by NHS Digital prior to import to the NCDR, used during loading and processing.",bigint,No,,,,RK,AP,clarified
1121,NHSE_SEM_Live,tbl_Data_SEM_APCE_1314_Der,dbo,APCE_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCE_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apce tables. Use der_pseudo_nhs_number otherwise
1145,NHSE_SEM_Live,tbl_Data_SEM_APCE_1415_Der,dbo,APCE_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCE_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apce tables. Use der_pseudo_nhs_number otherwise
1169,NHSE_SEM_Live,tbl_Data_SEM_APCE_1516_Der,dbo,APCE_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCE_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apce tables. Use der_pseudo_nhs_number otherwise
1195,NHSE_SEM_Live,tbl_Data_SEM_APCE_1617_Der,dbo,APCE_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCE_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apce tables. Use der_pseudo_nhs_number otherwise
1122,NHSE_SEM_Live,tbl_Data_SEM_APCE_1314_Der,dbo,APCE_Load_ID,An identifier assigned during loading to aid processing.,int,No,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1146,NHSE_SEM_Live,tbl_Data_SEM_APCE_1415_Der,dbo,APCE_Load_ID,An identifier assigned during loading to aid processing.,int,No,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1170,NHSE_SEM_Live,tbl_Data_SEM_APCE_1516_Der,dbo,APCE_Load_ID,An identifier assigned during loading to aid processing.,int,No,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1196,NHSE_SEM_Live,tbl_Data_SEM_APCE_1617_Der,dbo,APCE_Load_ID,An identifier assigned during loading to aid processing.,int,No,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1123,NHSE_SEM_Live,tbl_Data_SEM_APCE_1314_Der,dbo,APCE_Raw_ID,"An identifier for each record, assigned prior to import to the NCDR.",bigint,No,,,,RK,AP,
1147,NHSE_SEM_Live,tbl_Data_SEM_APCE_1415_Der,dbo,APCE_Raw_ID,"An identifier for each record, assigned prior to import to the NCDR.",bigint,No,,,,RK,AP,
1171,NHSE_SEM_Live,tbl_Data_SEM_APCE_1516_Der,dbo,APCE_Raw_ID,"An identifier for each record, assigned prior to import to the NCDR.",bigint,No,,,,RK,AP,
1197,NHSE_SEM_Live,tbl_Data_SEM_APCE_1617_Der,dbo,APCE_Raw_ID,"An identifier for each record, assigned prior to import to the NCDR.",bigint,No,,,,RK,AP,
1124,NHSE_SEM_Live,tbl_Data_SEM_APCE_1314_Der,dbo,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apcs tables. Use der_pseudo_nhs_number otherwise
1148,NHSE_SEM_Live,tbl_Data_SEM_APCE_1415_Der,dbo,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apcs tables. Use der_pseudo_nhs_number otherwise
1172,NHSE_SEM_Live,tbl_Data_SEM_APCE_1516_Der,dbo,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apcs tables. Use der_pseudo_nhs_number otherwise
1198,NHSE_SEM_Live,tbl_Data_SEM_APCE_1617_Der,dbo,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apcs tables. Use der_pseudo_nhs_number otherwise
1244,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Der,dbo,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apcs tables. Use der_pseudo_nhs_number otherwise
1333,NHSE_SEM_Live,tbl_Data_SEM_APCS_1415_Der,dbo,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apcs tables. Use der_pseudo_nhs_number otherwise
1425,NHSE_SEM_Live,tbl_Data_SEM_APCS_1516_Der,dbo,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apcs tables. Use der_pseudo_nhs_number otherwise
1517,NHSE_SEM_Live,tbl_Data_SEM_APCS_1617_Der,dbo,APCS_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_APCS_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to apcs tables. Use der_pseudo_nhs_number otherwise
1125,NHSE_SEM_Live,tbl_Data_SEM_APCE_1314_Der,dbo,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1149,NHSE_SEM_Live,tbl_Data_SEM_APCE_1415_Der,dbo,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1173,NHSE_SEM_Live,tbl_Data_SEM_APCE_1516_Der,dbo,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1199,NHSE_SEM_Live,tbl_Data_SEM_APCE_1617_Der,dbo,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1245,NHSE_SEM_Live,tbl_Data_SEM_APCS_1314_Der,dbo,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1334,NHSE_SEM_Live,tbl_Data_SEM_APCS_1415_Der,dbo,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1426,NHSE_SEM_Live,tbl_Data_SEM_APCS_1516_Der,dbo,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1518,NHSE_SEM_Live,tbl_Data_SEM_APCS_1617_Der,dbo,APCS_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1590,NHSE_SEM_Live,tbl_Data_SEM_OPA_1314_Der,dbo,Attend_BP_Key,The Best Practice Tariff code list for the attendance as produced by the 2013/14 Local Payment HRG Grouper. Not currently populated in the NCDR.,varchar(50),Yes,Combines all Best Practice Tariff codes generated by the 2013/14 Local Payment HRG Grouper (from five separate data fields prior to load) for each attendance into one field.,,,RK,AP,"agree, also not populated so added that"
1620,NHSE_SEM_Live,tbl_Data_SEM_OPA_1415_Der,dbo,Attend_BP_Key,The Best Practice Tariff code list for the attendance as produced by the 2014/15 Local Payment HRG Grouper. Not currently populated in the NCDR.,varchar(50),Yes,Combines all Best Practice Tariff codes generated by the 2014/15 Local Payment HRG Grouper (from five separate data fields prior to load) for each attendance into one field.,,,RK,AP,"agree, also not populated so added that"
1683,NHSE_SEM_Live,tbl_Data_SEM_OPA_1516_Der,dbo,Attend_BP_Key,The Best Practice Tariff code list for the attendance as produced by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper. Not currently populated in the NCDR.,varchar(50),Yes,Combines all Best Practice Tariff codes generated by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper (from five separate data fields prior to load) for each attendance into one field.,,,RK,AP,"agree, also not populated so added that"
1738,NHSE_SEM_Live,tbl_Data_SEM_OPA_1617_Der,dbo,OPA_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_OPA_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to opa tables. Use der_pseudo_nhs_number otherwise
59,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Der,dbo,Attend_Core_HRG,The attendance core HRG produced by the 2013/14 Local Payment HRG Grouper.,varchar(6),Yes,"If A AND E PATIENT GROUP is 70 (Brought in dead) then 'DOA', else this field displays the Emergency HRG code according to the 2013/14 Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/2580/HRG4-201314-Local-Payment-Grouper",,,RK,AP,
78,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Der,dbo,Attend_Core_HRG,The attendance core HRG produced by the 2014/15 Local Payment HRG Grouper.,varchar(6),Yes,"If A AND E PATIENT GROUP is 70 (Brought in dead) then 'DOA', else this field displays the Emergency HRG code according to the 2014/15 Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper",,,RK,AP,
99,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Der,dbo,Attend_Core_HRG,The attendance core HRG produced by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.,varchar(6),Yes,"If A AND E PATIENT GROUP is 70 (Brought in dead) then 'DOA', else this field displays the Emergency HRG code according to the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper
http://content.digital.nhs.uk/article/6103/HRG4-201516-Local-Payment-Grouper
",,,RK,AP,
118,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Der,dbo,Attend_Core_HRG,The attendance core HRG produced by the 2016/17 Local Payment HRG Grouper.,varchar(6),Yes,"If A AND E PATIENT GROUP is 70 (Brought in dead) then 'DOA', else this field displays the Emergency HRG code according to the 2016/17 Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/7052/HRG4-201617-Local-Payment-Grouper
",,,RK,AP,
1586,NHSE_SEM_Live,tbl_Data_SEM_OPA_1314_Der,dbo,Attend_Core_HRG,The attendance core HRG produced by the 2013/14 Local Payment HRG Grouper.,varchar(5),Yes,"Equals the Non-Admitted Care HRG code according to the 2013/14 Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/2580/HRG4-201314-Local-Payment-Grouper",,,RK,AP,
1616,NHSE_SEM_Live,tbl_Data_SEM_OPA_1415_Der,dbo,Attend_Core_HRG,The attendance core HRG produced by the 2014/15 Local Payment HRG Grouper.,varchar(5),Yes,"Equals the Non-Admitted Care HRG code according to the 2014/15 Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper",,,RK,AP,
1679,NHSE_SEM_Live,tbl_Data_SEM_OPA_1516_Der,dbo,Attend_Core_HRG,The attendance core HRG produced by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.,varchar(5),Yes,"Equals the Non-Admitted Care HRG code according to the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper
http://content.digital.nhs.uk/article/6103/HRG4-201516-Local-Payment-Grouper",,,RK,AP,
1739,NHSE_SEM_Live,tbl_Data_SEM_OPA_1617_Der,dbo,OPA_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,
1588,NHSE_SEM_Live,tbl_Data_SEM_OPA_1314_Der,dbo,Attend_Dominant_Procedure,The dominant procedure used for procedure based grouping as produced by the 2013/14 Local Payment HRG Grouper.,varchar(20),Yes,"For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/2580/HRG4-201314-Local-Payment-Grouper",,,RK,AP,
1618,NHSE_SEM_Live,tbl_Data_SEM_OPA_1415_Der,dbo,Attend_Dominant_Procedure,The dominant procedure used for procedure based grouping as produced by the 2014/15 Local Payment HRG Grouper.,varchar(20),Yes,"For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper",,,RK,AP,
1681,NHSE_SEM_Live,tbl_Data_SEM_OPA_1516_Der,dbo,Attend_Dominant_Procedure,The dominant procedure used for procedure based grouping as produced by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.,varchar(20),Yes,"For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper
http://content.digital.nhs.uk/article/6103/HRG4-201516-Local-Payment-Grouper",,,RK,AP,
1740,NHSE_SEM_Live,tbl_Data_SEM_OPA_1617_Der,dbo,OPA_Raw_ID,An identifier on the raw data which is imported used during loading and processing.,bigint,No,,,,RK,AP,
1591,NHSE_SEM_Live,tbl_Data_SEM_OPA_1314_Der,dbo,Attend_Flag_Key,The flag code list for the attendance as produced by the 2013/14 Local Payment HRG Grouper.,varchar(50),Yes,"Combines all flag codes generated by the 2013/14 Local Payment HRG Grouper (from five separate data fields prior to load) for each attendance into one field.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/2580/HRG4-201314-Local-Payment-Grouper
",,,RK,AP,
1621,NHSE_SEM_Live,tbl_Data_SEM_OPA_1415_Der,dbo,Attend_Flag_Key,The flag code list for the attendance as produced by the 2014/15 Local Payment HRG Grouper.,varchar(50),Yes,"Combines all flag codes generated by the 2014/15 Local Payment HRG Grouper (from five separate data fields prior to load) for each attendance into one field.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper",,,RK,AP,
1684,NHSE_SEM_Live,tbl_Data_SEM_OPA_1516_Der,dbo,Attend_Flag_Key,The flag code list for the attendance as produced by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.,varchar(50),Yes,"Combines all flag codes generated by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper (from five separate data fields prior to load) for each attendance into one field.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper
http://content.digital.nhs.uk/article/6103/HRG4-201516-Local-Payment-Grouper",,,RK,AP,
1741,NHSE_SEM_Live,tbl_Data_SEM_OPA_1617_Der,dbo,PreGrp_Exclusion_Reason,"Reason as to why the attendance has not been grouped using the 2016/17 Local Payment HRG Grouper, e.g. '=' Sign Convention, Mental Health Services etc.",varchar(30),Yes,"When the last character in Commissioning_Serial_Number.
Set as '''='' Sign Convention' when the final character in Commissioning_Serial_Number is '='.
Set as ?Cystic Fibrosis? when Treatment_Function_Code is ?343? or ?264'.
Set as ?Intermediate Care? when Treatment_Function_Code is '318'.
Set as ?Learning Disabilities? when Treatment_Function_Code is ?700?.
Set as ?Mental Health Services? when Treatment_Function_Code is one of '710', '711', '712', '713', '715', '720', '721', '722', '723', '724', '725', '726' or '727'.
Set as  ?Respite Care? when Treatment_Function_Code is ?319?.
Set as ?NSCG Services? when Commissioner_Code is ?YDD82?.
Set as ?Private Patients? when Administrative_Category is ?02?.",,,RK,AP,
1587,NHSE_SEM_Live,tbl_Data_SEM_OPA_1314_Der,dbo,Attend_Grouping_Method_Flag,The grouping method used for the attendance as produced by the 2013/14 Local Payment HRG Grouper.,varchar(1),Yes,"The grouping method used by the 2013/14 Local Payment HRG Grouper for the appointment.  Will either be 'P' (Procedure Driven), 'G' (Global Exception) or null.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/2580/HRG4-201314-Local-Payment-Grouper",,,RK,AP,
1617,NHSE_SEM_Live,tbl_Data_SEM_OPA_1415_Der,dbo,Attend_Grouping_Method_Flag,The grouping method used for the attendance as produced by the 2014/15 Local Payment HRG Grouper.,varchar(1),Yes,"The grouping method used by the 2014/15 Local Payment HRG Grouper for the appointment.  Will either be 'P' (Procedure Driven), 'G' (Global Exception) or null.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper",,,RK,AP,
1680,NHSE_SEM_Live,tbl_Data_SEM_OPA_1516_Der,dbo,Attend_Grouping_Method_Flag,The grouping method used for the attendance as produced by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.,varchar(1),Yes,"The grouping method used by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper for the appointment.  Will either be 'P' (Procedure Driven), 'G' (Global Exception) or null.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper
http://content.digital.nhs.uk/article/6103/HRG4-201516-Local-Payment-Grouper",,,RK,AP,
1742,NHSE_SEM_Live,tbl_Data_SEM_OPA_1617_Der,dbo,Attend_Core_HRG,The attendance core HRG produced by the 2016/17 Local Payment HRG Grouper.,varchar(5),Yes,"Equals the Non-Admitted Care HRG code according to the 2016/17 Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/7052/HRG4-201617-Local-Payment-Grouper",,,RK,AP,
1589,NHSE_SEM_Live,tbl_Data_SEM_OPA_1314_Der,dbo,Attend_SSC_Key,The specialised service code list for the attendance as produced by the 2013/14 Local Payment HRG Grouper.,varchar(50),Yes,"Combines all specialised service codes generated by the 2013/14 Local Payment HRG Grouper (from five separate data fields prior to load) for each attendance into one field.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/2580/HRG4-201314-Local-Payment-Grouper",,,RK,AP,
1619,NHSE_SEM_Live,tbl_Data_SEM_OPA_1415_Der,dbo,Attend_SSC_Key,The specialised service code list for the attendance as produced by the 2014/15 Local Payment HRG Grouper.,varchar(50),Yes,"Combines all specialised service codes generated by the 2014/15 Local Payment HRG Grouper (from five separate data fields prior to load) for each attendance into one field.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper",,,RK,AP,
1682,NHSE_SEM_Live,tbl_Data_SEM_OPA_1516_Der,dbo,Attend_SSC_Key,The specialised service code list for the attendance as produced by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.,varchar(50),Yes,"Combines all specialised service codes generated by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper (from five separate data fields prior to load) for each attendance into one field.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper
http://content.digital.nhs.uk/article/6103/HRG4-201516-Local-Payment-Grouper",,,RK,AP,
1743,NHSE_SEM_Live,tbl_Data_SEM_OPA_1617_Der,dbo,Attend_Grouping_Method_Flag,The grouping method used for the attendance as produced by the 2016/17 Local Payment HRG Grouper.,varchar(1),Yes,"The grouping method used by the 2016/17 Local Payment HRG Grouper for the appointment.  Will either be 'P' (Procedure Driven), 'G' (Global Exception) or null.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/7052/HRG4-201617-Local-Payment-Grouper",,,RK,AP,
1592,NHSE_SEM_Live,tbl_Data_SEM_OPA_1314_Der,dbo,Attend_Unbundled_HRGs,Unbundled HRGs as produced by the 2013/14 Local Payment HRG Grouper.,varchar(250),Yes,"Any and all unbundled HRGs generated by the 2013/14 Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/2580/HRG4-201314-Local-Payment-Grouper",,,RK,AP,
1622,NHSE_SEM_Live,tbl_Data_SEM_OPA_1415_Der,dbo,Attend_Unbundled_HRGs,Unbundled HRGs as produced by the 2014/15 Local Payment HRG Grouper.,varchar(250),Yes,"Any and all unbundled HRGs generated by the 2014/15 Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper",,,RK,AP,
1685,NHSE_SEM_Live,tbl_Data_SEM_OPA_1516_Der,dbo,Attend_Unbundled_HRGs,Unbundled HRGs as produced by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.,varchar(250),Yes,"Any and all unbundled HRGs generated by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper
http://content.digital.nhs.uk/article/6103/HRG4-201516-Local-Payment-Grouper",,,RK,AP,
1744,NHSE_SEM_Live,tbl_Data_SEM_OPA_1617_Der,dbo,Attend_Dominant_Procedure,The dominant procedure used for procedure based grouping as produced by the 2016/17 Local Payment HRG Grouper.,varchar(20),Yes,"For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/7052/HRG4-201617-Local-Payment-Grouper",,,RK,AP,
1131,NHSE_SEM_Live,tbl_Data_SEM_APCE_1314_Der,dbo,FCE_Dominant_Procedure,"The dominant procedure used for procedure based grouping, as produced by the 2013/14 Local Payment HRG Grouper.",varchar(20),Yes,"The record is run through the HRG grouper for the relevant year, and the FCE_Dominant_Procedure is taken from the output table.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/2580/HRG4-201314-Local-Payment-Grouper",,,RK,AP,"you're right, my mistake!"
1155,NHSE_SEM_Live,tbl_Data_SEM_APCE_1415_Der,dbo,FCE_Dominant_Procedure,"The dominant procedure used for procedure based grouping, as produced by the 2014/15 Local Payment HRG Grouper.",varchar(20),Yes,"The record is run through the HRG grouper for the relevant year, and the FCE_Dominant_Procedure is taken from the output table.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper",,,RK,AP,"you're right, my mistake!"
1181,NHSE_SEM_Live,tbl_Data_SEM_APCE_1516_Der,dbo,FCE_Dominant_Procedure,"The dominant procedure used for procedure based grouping, as produced by the 2014/15 (DTR) or 2015/16 (ETO) Local Payment HRG Grouper.",varchar(20),Yes,"The record is run through the HRG grouper for the relevant year, and the FCE_Dominant_Procedure is taken from the output table.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/3938/HRG4-201415-Payment-Grouper
http://content.digital.nhs.uk/article/6103/HRG4-201516-Local-Payment-Grouper",,,RK,AP,"you're right, my mistake!"
1200,NHSE_SEM_Live,tbl_Data_SEM_APCE_1617_Der,dbo,FCE_Group_Status,Indication as to whether the episode has been grouped using the 2016/17 Local Payment HRG Grouper.,varchar(3),Yes,"The record is run through the HRG grouper for the relevant year, and the Record_Type is taken from the output table.
For full details of the HRG Grouper, see NHS Digital's documentation:
http://content.digital.nhs.uk/article/7052/HRG4-201617-Local-Payment-Grouper",,,RK,AP,
